"",BBSF2.M.1.S.00000.TOT01.I.F.GMP.Z5.00000.F33100.Z01.B1,BBSF2.M.1.S.00000.TOT01.I.F.GMP.Z5.00000.F33100.Z01.B1_FLAGS
"",Special investors funds / Funds total / Short-term debt securities,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:59,
1993-04,918,
1993-05,798,
1993-06,560,
1993-07,738,
1993-08,741,
1993-09,731,
1993-10,752,
1993-11,723,
1993-12,365,
1994-01,465,
1994-02,355,
1994-03,349,
1994-04,291,
1994-05,571,
1994-06,725,
1994-07,461,
1994-08,448,
1994-09,333,
1994-10,439,
1994-11,330,
1994-12,183,
1995-01,204,
1995-02,263,
1995-03,598,
1995-04,807,
1995-05,1071,
1995-06,1260,
1995-07,1002,
1995-08,904,
1995-09,447,
1995-10,379,
1995-11,165,
1995-12,253,
1996-01,434,
1996-02,379,
1996-03,604,
1996-04,468,
1996-05,399,
1996-06,483,
1996-07,677,
1996-08,760,
1996-09,601,
1996-10,616,
1996-11,519,
1996-12,705,
1997-01,776,
1997-02,906,
1997-03,1023,
1997-04,803,
1997-05,1035,
1997-06,877,
1997-07,613,
1997-08,747,
1997-09,819,
1997-10,854,
1997-11,926,
1997-12,988,
1998-01,1055,
1998-02,1033,
1998-03,1020,
1998-04,983,
1998-05,591,
1998-06,578,
1998-07,581,
1998-08,836,
1998-09,616,
1998-10,644,
1998-11,734,
1998-12,864,
1999-01,506,
1999-02,469,
1999-03,884,
1999-04,861,
1999-05,654,
1999-06,523,
1999-07,595,
1999-08,727,
1999-09,560,
1999-10,770,
1999-11,536,
1999-12,713,
2000-01,604,
2000-02,696,
2000-03,675,
2000-04,626,
2000-05,812,
2000-06,815,
2000-07,825,
2000-08,917,
2000-09,829,
2000-10,805,
2000-11,726,
2000-12,534,
2001-01,624,
2001-02,636,
2001-03,561,
2001-04,593,
2001-05,533,
2001-06,537,
2001-07,484,
2001-08,482,
2001-09,468,
2001-10,541,
2001-11,392,
2001-12,765,
2002-01,316,
2002-02,597,
2002-03,344,
2002-04,278,
2002-05,461,
2002-06,412,
2002-07,609,
2002-08,564,
2002-09,720,
2002-10,692,
2002-11,463,
2002-12,328,
2003-01,571,
2003-02,328,
2003-03,732,
2003-04,616,
2003-05,579,
2003-06,632,
2003-07,631,
2003-08,679,
2003-09,860,
2003-10,814,
2003-11,820,
2003-12,642,
2004-01,582,
2004-02,590,
2004-03,597,
2004-04,642,
2004-05,713,
2004-06,702,
2004-07,569,
2004-08,758,
2004-09,883,
2004-10,764,
2004-11,700,
2004-12,750,
2005-01,720,
2005-02,966,
2005-03,1048,
2005-04,1310,
2005-05,1586,
2005-06,1364,
2005-07,1277,
2005-08,1831,
2005-09,1225,
2005-10,769,
2005-11,839,
2005-12,1122,
2006-01,771,
2006-02,512,
2006-03,679,
2006-04,641,
2006-05,767,
2006-06,993,
2006-07,1054,
2006-08,1004,
2006-09,1383,
2006-10,996,
2006-11,1037,
2006-12,1062,
2007-01,1267,
2007-02,1445,
2007-03,1410,
2007-04,1680,
2007-05,1368,
2007-06,1751,
2007-07,2121,
2007-08,2507,
2007-09,2482,
2007-10,3707,
2007-11,3622,
2007-12,5524,
2008-01,4123,
2008-02,4153,
2008-03,3827,
2008-04,3892,
2008-05,3977,
2008-06,4112,
2008-07,4671,
2008-08,4810,
2008-09,5132,
2008-10,3527,
2008-11,3453,
2008-12,3014,
2009-01,2535,
2009-02,2611,
2009-03,2404,
2009-04,2323,
2009-05,2054,
2009-06,1772,
2009-07,1814,
2009-08,.,No value available
2009-09,7541,
2009-10,7290,
2009-11,6802,
2009-12,3453,
2010-01,5294,
2010-02,4168,
2010-03,2913,
2010-04,3095,
2010-05,3552,
2010-06,3726,
2010-07,3623,
2010-08,3889,
2010-09,3718,
2010-10,3727,
2010-11,4185,
2010-12,4893,
2011-01,4420,
2011-02,5224,
2011-03,4936,
2011-04,5428,
2011-05,5432,
2011-06,5724,
2011-07,5887,
2011-08,5759,
2011-09,6191,
2011-10,5727,
2011-11,5797,
2011-12,6165,
2012-01,5924,
2012-02,5706,
2012-03,5738,
2012-04,6621,
2012-05,6759,
2012-06,6874,
2012-07,6276,
2012-08,6438,
2012-09,5595,
2012-10,5395,
2012-11,4765,
2012-12,4542,
2013-01,4625,
2013-02,5184,
2013-03,5446,
2013-04,6134,
2013-05,6169,
2013-06,6958,
2013-07,6896,
2013-08,6947,
2013-09,6537,
2013-10,6917,
2013-11,5759,
2013-12,5169,
2014-01,5443,
2014-02,7602,
2014-03,7862,
2014-04,7937,
2014-05,9056,
2014-06,8809,
2014-07,9338,
2014-08,8058,
2014-09,7578,
2014-10,5906,
2014-11,5159,
