"",BBK01.OEAK01I,BBK01.OEAK01I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:05,
2002-01,7.727,
2002-04,7.631,
2002-07,7.455,
2002-10,7.623,
2003-01,7.383,
2003-04,7.164,
2003-07,7.204,
2003-10,6.626,
2004-01,6.486,
2004-04,6.062,
2004-07,5.995,
2004-10,5.621,
2005-01,5.680,
2005-04,4.687,
2005-07,4.919,
2005-10,5.824,
2006-01,5.541,
2006-04,5.723,
2006-07,5.826,
2006-10,6.609,
2007-01,6.116,
2007-04,6.425,
2007-07,6.563,
2007-10,6.556,
2008-01,6.341,
2008-04,6.371,
2008-07,6.229,
2008-10,6.245,
2009-01,6.482,
2009-04,6.668,
2009-07,6.999,
2009-10,7.270,
2010-01,6.562,
2010-04,7.653,
2010-07,7.741,
2010-10,8.128,
2011-01,8.366,
2011-04,8.472,
2011-07,8.941,
2011-10,9.245,
2012-01,9.495,
2012-04,10.085,
2012-07,10.488,
2012-10,10.548,
2013-01,10.452,
2013-04,10.454,
2013-07,10.646,
2013-10,11.154,
2014-01,11.010,
2014-04,11.250,
2014-07,11.312,
