"",BBSF2.M.1.S.00000.AKT01.I.F.GMP.U201.00000.F33100.Z01.B1,BBSF2.M.1.S.00000.AKT01.I.F.GMP.U201.00000.F33100.Z01.B1_FLAGS
"","Special investors funds / Equity funds / Short-term debt securities / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:21,
2009-09,213,
2009-10,225,
2009-11,251,
2009-12,334,
2010-01,541,
2010-02,712,
2010-03,404,
2010-04,497,
2010-05,575,
2010-06,537,
2010-07,569,
2010-08,729,
2010-09,458,
2010-10,561,
2010-11,503,
2010-12,621,
2011-01,120,
2011-02,113,
2011-03,147,
2011-04,409,
2011-05,369,
2011-06,387,
2011-07,339,
2011-08,736,
2011-09,1087,
2011-10,1014,
2011-11,1167,
2011-12,1354,
2012-01,1233,
2012-02,1315,
2012-03,1244,
2012-04,178,
2012-05,117,
2012-06,136,
2012-07,97,
2012-08,220,
2012-09,167,
2012-10,136,
2012-11,102,
2012-12,78,
2013-01,64,
2013-02,310,
2013-03,277,
2013-04,300,
2013-05,185,
2013-06,269,
2013-07,271,
2013-08,301,
2013-09,356,
2013-10,365,
2013-11,95,
2013-12,105,
2014-01,105,
2014-02,81,
2014-03,117,
2014-04,144,
2014-05,145,
2014-06,138,
2014-07,136,
2014-08,169,
2014-09,206,
2014-10,230,
2014-11,238,
