"",BBK01.CEH70N,BBK01.CEH70N_FLAGS
"",Other claims debtor: All sectors                      creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:32,
1991-01,-0.1,
1991-04,4.6,
1991-07,10.2,
1991-10,5.7,
1992-01,-8.6,
1992-04,3.9,
1992-07,26.8,
1992-10,-18.9,
1993-01,0.5,
1993-04,-6.2,
1993-07,17.1,
1993-10,-5.9,
1994-01,-10.1,
1994-04,3.0,
1994-07,12.2,
1994-10,-15.4,
1995-01,-1.6,
1995-04,8.5,
1995-07,16.6,
1995-10,-13.6,
1996-01,-2.3,
1996-04,18.1,
1996-07,1.1,
1996-10,-12.7,
1997-01,-1.0,
1997-04,4.1,
1997-07,3.6,
1997-10,-2.7,
1998-01,5.3,
1998-04,14.7,
1998-07,12.7,
1998-10,-20.1,
1999-01,-27.4,
1999-04,12.4,
1999-07,-4.6,
1999-10,-26.3,
2000-01,-12.3,
2000-04,-0.9,
2000-07,-40.2,
2000-10,-4.1,
2001-01,10.7,
2001-04,9.7,
2001-07,-37.7,
2001-10,45.4,
2002-01,-23.7,
2002-04,5.6,
2002-07,-13.3,
2002-10,10.2,
2003-01,-37.5,
2003-04,5.4,
2003-07,-18.3,
2003-10,46.2,
2004-01,-9.4,
2004-04,3.1,
2004-07,-13.6,
2004-10,1.3,
2005-01,18.5,
2005-04,-13.0,
2005-07,2.6,
2005-10,26.0,
2006-01,8.7,
2006-04,25.8,
2006-07,26.4,
2006-10,19.0,
2007-01,-36.1,
2007-04,39.2,
2007-07,-14.4,
2007-10,71.7,
2008-01,-16.6,
2008-04,-33.8,
2008-07,-27.1,
2008-10,1.5,
2009-01,-25.7,
2009-04,-36.9,
2009-07,-35.4,
2009-10,13.0,
2010-01,-34.4,
2010-04,41.1,
2010-07,-34.7,
2010-10,-54.7,
2011-01,-61.0,
2011-04,16.1,
2011-07,11.9,
2011-10,-16.2,
2012-01,-36.1,
2012-04,17.9,
2012-07,7.0,
2012-10,-6.6,
2013-01,-17.5,
2013-04,-3.0,
2013-07,-50.0,
2013-10,25.1,
2014-01,-12.5,
