"",BBK01.CEHF0X,BBK01.CEHF0X_FLAGS
"",longer-term loans debtor: All sectors                    creditor: Other financial intermediaries,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:01,
1991-01,0.0,
1991-04,0.2,
1991-07,0.2,
1991-10,0.1,
1992-01,0.1,
1992-04,0.1,
1992-07,0.1,
1992-10,0.1,
1993-01,-0.1,
1993-04,0.4,
1993-07,-0.1,
1993-10,-0.3,
1994-01,-0.1,
1994-04,0.2,
1994-07,-1.0,
1994-10,0.2,
1995-01,-0.4,
1995-04,0.2,
1995-07,0.3,
1995-10,0.5,
1996-01,0.1,
1996-04,-0.7,
1996-07,-0.1,
1996-10,0.5,
1997-01,0.4,
1997-04,0.2,
1997-07,-0.2,
1997-10,1.0,
1998-01,-0.8,
1998-04,1.8,
1998-07,-2.6,
1998-10,3.6,
1999-01,-5.9,
1999-04,11.1,
1999-07,-3.0,
1999-10,2.3,
2000-01,-1.3,
2000-04,6.2,
2000-07,-7.9,
2000-10,6.3,
2001-01,-0.3,
2001-04,-0.5,
2001-07,6.4,
2001-10,-2.4,
2002-01,1.3,
2002-04,-1.0,
2002-07,-5.8,
2002-10,7.8,
2003-01,-1.5,
2003-04,-3.7,
2003-07,-5.3,
2003-10,-1.0,
2004-01,-2.1,
2004-04,1.5,
2004-07,0.8,
2004-10,-0.7,
2005-01,0.5,
2005-04,2.7,
2005-07,-0.8,
2005-10,-1.2,
2006-01,1.6,
2006-04,0.6,
2006-07,-1.1,
2006-10,2.0,
2007-01,2.3,
2007-04,5.6,
2007-07,-0.3,
2007-10,-8.2,
2008-01,0.7,
2008-04,2.6,
2008-07,2.0,
2008-10,-1.1,
2009-01,3.3,
2009-04,3.0,
2009-07,2.4,
2009-10,4.5,
2010-01,2.5,
2010-04,1.9,
2010-07,0.5,
2010-10,1.2,
2011-01,1.3,
2011-04,0.8,
2011-07,1.5,
2011-10,3.4,
2012-01,3.0,
2012-04,2.2,
2012-07,4.2,
2012-10,3.0,
2013-01,6.7,
2013-04,4.5,
2013-07,1.1,
2013-10,4.0,
2014-01,3.5,
