"",BBFB1.Q.N.DE.IT.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.IT.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Italy,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:48,
1991-01,39.880,
1991-04,43.238,
1991-07,45.651,
1991-10,48.168,
1992-01,-2.466,
1992-04,-8.464,
1992-07,-1.641,
1992-10,1.106,
1993-01,-39.500,
1993-04,-72.267,
1993-07,-20.898,
1993-10,-80.877,
1994-01,-32.537,
1994-04,-53.103,
1994-07,-25.511,
1994-10,-39.382,
1995-01,-46.184,
1995-04,-68.373,
1995-07,-46.369,
1995-10,-43.713,
1996-01,124.151,
1996-04,121.669,
1996-07,128.061,
1996-10,115.731,
1997-01,53.686,
1997-04,52.744,
1997-07,41.484,
1997-10,34.571,
1998-01,100.554,
1998-04,100.457,
1998-07,84.370,
1998-10,79.577,
1999-01,115.452,
1999-04,111.666,
1999-07,109.378,
1999-10,105.330,
2000-01,126.112,
2000-04,113.347,
2000-07,128.992,
2000-10,77.255,
2001-01,-18.658,
2001-04,-389.470,
2001-07,85.848,
2001-10,10.446,
2002-01,65.810,
2002-04,-105.452,
2002-07,83.605,
2002-10,10.705,
2003-01,56.781,
2003-04,-172.651,
2003-07,2.205,
2003-10,112.526,
2004-01,288.489,
2004-04,51.949,
2004-07,177.032,
2004-10,314.480,
2005-01,372.470,
2005-04,65.330,
2005-07,111.845,
2005-10,332.761,
2006-01,303.663,
2006-04,186.297,
2006-07,276.772,
2006-10,18.582,
2007-01,124.428,
2007-04,-555.604,
2007-07,-203.845,
2007-10,-22.684,
2008-01,67.800,
2008-04,-397.510,
2008-07,-24.357,
2008-10,-126.930,
2009-01,-250.058,
2009-04,-332.714,
2009-07,-72.364,
2009-10,-204.085,
2010-01,-275.235,
2010-04,-231.039,
2010-07,42.822,
2010-10,-269.924,
2011-01,46.393,
2011-04,-221.638,
2011-07,62.766,
2011-10,-185.858,
2012-01,7.219,
2012-04,-158.826,
2012-07,-1.679,
2012-10,-433.360,
2013-01,121.315,
2013-04,-66.427,
2013-07,57.481,
2013-10,105.611,
2014-01,138.508,Provisional value
2014-04,18.778,Provisional value
2014-07,49.500,Provisional value
2014-10,91.464,Provisional value
