"",BBK01.OEAC06L,BBK01.OEAC06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:06,
2002-01,1.665,
2002-04,1.628,
2002-07,1.639,
2002-10,1.470,
2003-01,1.656,
2003-04,1.640,
2003-07,1.656,
2003-10,1.620,
2004-01,1.625,
2004-04,1.630,
2004-07,1.619,
2004-10,1.683,
2005-01,1.421,
2005-04,1.420,
2005-07,1.422,
2005-10,1.402,
2006-01,1.500,
2006-04,1.507,
2006-07,1.522,
2006-10,1.503,
2007-01,1.530,
2007-04,1.589,
2007-07,1.643,
2007-10,1.645,
2008-01,1.667,
2008-04,1.732,
2008-07,1.779,
2008-10,1.770,
2009-01,1.724,
2009-04,1.683,
2009-07,1.684,
2009-10,1.679,
2010-01,1.724,
2010-04,1.780,
2010-07,1.815,
2010-10,1.772,
2011-01,1.756,
2011-04,1.792,
2011-07,1.812,
2011-10,1.821,
2012-01,1.850,
2012-04,1.881,
2012-07,1.910,
2012-10,1.887,
2013-01,1.902,
2013-04,1.919,
2013-07,1.939,
2013-10,1.939,
2014-01,1.958,
2014-04,1.971,
2014-07,1.996,
