"",BBK01.OEAF35V,BBK01.OEAF35V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:41,
2002-01,2.503,
2002-04,2.650,
2002-07,2.648,
2002-10,2.712,
2003-01,2.744,
2003-04,2.674,
2003-07,2.755,
2003-10,2.777,
2004-01,2.746,
2004-04,2.798,
2004-07,2.832,
2004-10,2.883,
2005-01,2.768,
2005-04,2.791,
2005-07,3.013,
2005-10,2.970,
2006-01,3.019,
2006-04,3.081,
2006-07,3.124,
2006-10,3.163,
2007-01,3.154,
2007-04,3.186,
2007-07,3.240,
2007-10,3.144,
2008-01,3.204,
2008-04,2.847,
2008-07,2.899,
2008-10,3.007,
2009-01,3.024,
2009-04,3.100,
2009-07,2.966,
2009-10,3.690,
2010-01,3.141,
2010-04,2.999,
2010-07,2.975,
2010-10,3.058,
2011-01,2.867,
2011-04,2.893,
2011-07,2.961,
2011-10,2.926,
2012-01,2.905,
2012-04,2.877,
2012-07,2.826,
2012-10,2.728,
2013-01,2.753,
2013-04,2.762,
2013-07,2.756,
2013-10,2.739,
2014-01,2.712,
2014-04,2.948,
2014-07,2.956,
