"",BBK01.CEB72Q,BBK01.CEB72Q_FLAGS
"",Other liabilities (consolidated) debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:34,
1991-01,81.5,
1991-04,69.0,
1991-07,79.6,
1991-10,82.1,
1992-01,101.1,
1992-04,93.8,
1992-07,86.8,
1992-10,109.7,
1993-01,113.1,
1993-04,112.0,
1993-07,115.7,
1993-10,133.5,
1994-01,131.1,
1994-04,125.2,
1994-07,123.6,
1994-10,137.2,
1995-01,150.6,
1995-04,139.6,
1995-07,148.3,
1995-10,145.9,
1996-01,163.0,
1996-04,159.3,
1996-07,163.3,
1996-10,169.1,
1997-01,186.8,
1997-04,183.0,
1997-07,203.1,
1997-10,205.6,
1998-01,227.7,
1998-04,240.4,
1998-07,241.8,
1998-10,228.4,
1999-01,227.8,
1999-04,224.0,
1999-07,233.2,
1999-10,286.2,
2000-01,268.1,
2000-04,292.2,
2000-07,286.6,
2000-10,288.5,
2001-01,308.8,
2001-04,286.0,
2001-07,290.7,
2001-10,303.8,
2002-01,310.8,
2002-04,301.0,
2002-07,304.1,
2002-10,314.5,
2003-01,331.6,
2003-04,325.8,
2003-07,307.1,
2003-10,314.7,
2004-01,316.1,
2004-04,308.5,
2004-07,310.8,
2004-10,331.4,
2005-01,310.2,
2005-04,307.8,
2005-07,318.6,
2005-10,320.0,
2006-01,324.6,
2006-04,328.0,
2006-07,336.1,
2006-10,352.6,
2007-01,362.0,
2007-04,365.7,
2007-07,384.6,
2007-10,392.9,
2008-01,405.2,
2008-04,414.6,
2008-07,449.2,
2008-10,464.0,
2009-01,483.1,
2009-04,407.1,
2009-07,418.3,
2009-10,416.9,
2010-01,400.0,
2010-04,424.9,
2010-07,396.4,
2010-10,201.1,
2011-01,205.1,
2011-04,209.6,
2011-07,168.4,
2011-10,204.0,
2012-01,207.7,
2012-04,201.3,
2012-07,189.0,
2012-10,210.7,
2013-01,237.3,
2013-04,227.1,
2013-07,227.3,
2013-10,244.1,
2014-01,221.2,
