"",BBK01.OECB18M,BBK01.OECB18M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:42,
2002-01,0.295,
2002-04,0.288,
2002-07,0.284,
2002-10,0.289,
2003-01,0.268,
2003-04,0.266,
2003-07,0.266,
2003-10,0.265,
2004-01,0.219,
2004-04,0.207,
2004-07,0.217,
2004-10,0.243,
2005-01,0.327,
2005-04,0.367,
2005-07,0.337,
2005-10,0.332,
2006-01,0.317,
2006-04,0.378,
2006-07,0.463,
2006-10,0.368,
2007-01,0.416,
2007-04,0.378,
2007-07,0.305,
2007-10,0.302,
2008-01,0.327,
2008-04,0.366,
2008-07,0.510,
2008-10,0.344,
2009-01,0.271,
2009-04,0.280,
2009-07,0.262,
2009-10,0.247,
2010-01,0.240,
2010-04,0.240,
2010-07,0.224,
2010-10,0.209,
2011-01,0.221,
2011-04,0.215,
2011-07,0.218,
2011-10,0.208,
2012-01,0.205,
2012-04,0.199,
2012-07,0.216,
2012-10,0.205,
2013-01,0.203,
2013-04,0.202,
2013-07,0.209,
2013-10,0.203,
2014-01,0.200,
2014-04,0.199,
2014-07,0.196,
