"",BBK01.OECB08I,BBK01.OECB08I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:00,
2002-01,8.130,
2002-04,8.027,
2002-07,7.947,
2002-10,7.981,
2003-01,7.703,
2003-04,7.618,
2003-07,7.493,
2003-10,7.035,
2004-01,6.993,
2004-04,6.963,
2004-07,6.764,
2004-10,6.432,
2005-01,8.945,
2005-04,8.581,
2005-07,8.594,
2005-10,8.518,
2006-01,8.300,
2006-04,8.198,
2006-07,8.143,
2006-10,7.912,
2007-01,7.796,
2007-04,7.791,
2007-07,7.825,
2007-10,7.732,
2008-01,7.722,
2008-04,7.830,
2008-07,7.830,
2008-10,7.686,
2009-01,7.597,
2009-04,9.985,
2009-07,9.758,
2009-10,9.616,
2010-01,9.461,
2010-04,9.147,
2010-07,11.137,
2010-10,10.832,
2011-01,10.732,
2011-04,10.643,
2011-07,10.605,
2011-10,10.619,
2012-01,10.505,
2012-04,10.622,
2012-07,10.675,
2012-10,10.713,
2013-01,10.284,
2013-04,10.948,
2013-07,11.076,
2013-10,11.298,
2014-01,11.463,
2014-04,11.700,
2014-07,11.512,
