"",BBEX3.M.TJS.USD.CA.AC.A01,BBEX3.M.TJS.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Tajikistan / USD 1 = TJS ... (middle),
unit,TJS (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:21,
2000-10,2.2000,comment
2000-11,2.2000,
2000-12,2.2000,
2001-01,2.3500,
2001-02,2.3500,
2001-03,2.3500,
2001-04,2.3500,
2001-05,2.3500,
2001-06,2.3500,
2001-07,2.4000,
2001-08,2.4000,
2001-09,2.4000,
2001-10,2.4000,
2001-11,2.4800,
2001-12,2.5500,
2002-01,2.5500,
2002-02,2.6500,
2002-03,2.6800,
2002-04,2.6808,
2002-05,2.7021,
2002-06,2.7041,
2002-07,2.7126,
2002-08,2.8454,
2002-09,2.9249,
2002-10,2.9527,
2002-11,2.9882,
2002-12,3.0000,
2003-01,3.0355,
2003-02,3.0680,
2003-03,3.0810,
2003-04,3.0900,
2003-05,3.0900,
2003-06,3.0900,
2003-07,3.0908,
2003-08,3.0900,
2003-09,3.0900,
2003-10,3.0544,
2003-11,2.9610,
2003-12,2.9565,
2004-01,2.9050,
2004-02,2.9000,
2004-03,2.9077,
2004-04,2.9120,
2004-05,2.9241,
2004-06,2.9813,
2004-07,3.0072,
2004-08,3.0178,
2004-09,3.0262,
2004-10,3.0271,
2004-11,3.0317,
2004-12,3.0370,
2005-01,3.0400,
2005-02,3.0421,
2005-03,3.0431,
2005-04,3.0500,
2005-05,3.0719,
2005-06,3.1160,
2005-07,3.1600,
2005-08,3.1876,
2005-09,3.1802,
2005-10,3.1858,
2005-11,3.1950,
2005-12,3.1996,
2006-01,3.2086,
2006-02,3.2127,
2006-03,3.2134,
2006-04,3.2139,
2006-05,3.2219,
2006-06,3.2810,
2006-07,3.3537,
2006-08,3.3817,
2006-09,3.3842,
2006-10,3.3928,
2006-11,3.3965,
2006-12,3.4265,
2007-01,3.4386,
2007-02,3.4386,
2007-03,3.4392,
2007-04,3.4389,
2007-05,3.4391,
2007-06,3.4396,
2007-07,3.4397,
2007-08,3.4418,
2007-09,3.4445,
2007-10,3.4466,
2007-11,3.4600,
2007-12,3.4649,
2008-01,3.4677,
2008-02,3.4529,
2008-03,3.4351,
2008-04,3.4302,
2008-05,3.4291,
2008-06,3.4308,
2008-07,3.4281,
2008-08,3.4189,
2008-09,3.4092,
2008-10,3.4019,
2008-11,3.4049,
2008-12,3.4519,
2009-01,3.6715,
2009-02,3.7379,
2009-03,3.8146,
2009-04,3.9407,
2009-05,4.4537,
2009-06,4.4000,
2009-07,4.3906,
2009-08,4.3902,
2009-09,4.3822,
2009-10,4.3495,
2009-11,4.3532,
2009-12,4.3710,
2010-01,4.3701,
2010-02,4.3671,
2010-03,4.3675,
2010-04,4.3681,
2010-05,4.3707,
2010-06,4.3824,
2010-07,4.3814,
2010-08,4.3819,
2010-09,4.3828,
2010-10,4.3852,
2010-11,4.3998,
2010-12,4.4031,
2011-01,4.4028,
2011-02,4.4150,
2011-03,4.4652,
2011-04,4.5056,
2011-05,4.5627,
2011-06,4.6682,
2011-07,4.7121,
2011-08,4.7524,
2011-09,4.7509,
2011-10,4.7538,
2011-11,4.7589,
2011-12,4.7585,
2012-01,4.7579,
2012-02,4.7594,
2012-03,4.7595,
2012-04,4.7587,
2012-05,4.7659,
2012-06,4.7656,
2012-07,4.7645,
2012-08,4.7644,
2012-09,4.7645,
2012-10,4.7641,
2012-11,4.7697,
2012-12,4.7705,
2013-01,4.7615,
2013-02,4.7541,
2013-03,4.7543,
2013-04,4.7571,
2013-05,4.7559,
2013-06,4.7645,
2013-07,4.7680,
2013-08,4.7672,
2013-09,4.7685,
2013-10,4.7725,
2013-11,4.7747,
2013-12,4.7741,
2014-01,4.8005,
2014-02,4.8058,
2014-03,4.8040,
2014-04,4.8387,
2014-05,4.9091,
2014-06,4.9391,
2014-07,4.9623,
2014-08,4.9798,
2014-09,4.9951,
2014-10,5.0035,
2014-11,5.0840,
2014-12,5.3079,
2015-01,5.3754,
"","General: With effect from 30 October 2000, a currency conversion took place at the rate of TJR 1,000 = TJS 1.",
"","Source: National Bank of Tajikistan, Dushanbe",
"","Comment on 2000-10: With effect from 30 October 2000, a currency conversion took place at the rate of TJR 1,000 = TJS 1.",
