"",BBFN1.M.DE.N.1.A.SK.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SK.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Slovak Republic,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:37,
1994-07,0.146,
1994-08,0.157,
1994-09,0.164,
1994-10,0.177,
1994-11,0.180,
1994-12,0.177,
1995-01,0.165,
1995-02,0.171,
1995-03,0.188,
1995-04,0.183,
1995-05,0.195,
1995-06,0.230,
1995-07,0.210,
1995-08,0.223,
1995-09,0.239,
1995-10,0.219,
1995-11,0.274,
1995-12,0.226,
1996-01,0.251,
1996-02,0.237,
1996-03,0.234,
1996-04,0.279,
1996-05,0.262,
1996-06,0.262,
1996-07,0.255,
1996-08,0.250,
1996-09,0.264,
1996-10,0.269,
1996-11,0.309,
1996-12,0.304,
1997-01,0.300,
1997-02,0.315,
1997-03,0.295,
1997-04,0.310,
1997-05,0.324,
1997-06,0.338,
1997-07,0.337,
1997-08,0.347,
1997-09,0.317,
1997-10,0.324,
1997-11,0.354,
1997-12,0.292,
1998-01,0.288,
1998-02,0.311,
1998-03,0.360,
1998-04,0.346,
1998-05,0.376,
1998-06,0.397,
1998-07,0.409,
1998-08,0.392,
1998-09,0.372,
1998-10,0.345,
1998-11,0.444,
1998-12,0.408,
1999-01,0.391,
1999-02,0.378,
1999-03,0.390,
1999-04,0.414,
1999-05,0.386,
1999-06,0.413,
1999-07,0.347,
1999-08,0.388,
1999-09,0.383,
1999-10,0.393,
1999-11,0.407,
1999-12,0.353,
2000-01,0.335,
2000-02,0.442,
2000-03,0.396,
2000-04,0.383,
2000-05,0.403,
2000-06,0.485,
2000-07,0.531,
2000-08,0.472,
2000-09,0.463,
2000-10,0.516,
2000-11,0.521,
2000-12,0.464,
2001-01,0.487,
2001-02,0.538,
2001-03,0.654,
2001-04,0.622,
2001-05,0.627,
2001-06,0.644,
2001-07,0.643,
2001-08,0.605,
2001-09,0.577,
2001-10,0.581,
2001-11,0.564,
2001-12,0.502,
2002-01,0.488,
2002-02,0.528,
2002-03,0.526,
2002-04,0.549,
2002-05,0.560,
2002-06,0.581,
2002-07,0.575,
2002-08,0.576,
2002-09,0.586,
2002-10,0.621,
2002-11,0.641,
2002-12,0.617,
2003-01,0.562,
2003-02,0.587,
2003-03,0.631,
2003-04,0.645,
2003-05,0.642,
2003-06,0.644,
2003-07,0.686,
2003-08,0.689,
2003-09,0.712,
2003-10,0.760,
2003-11,0.760,
2003-12,0.622,
2004-01,0.574,
2004-02,0.553,
2004-03,0.628,
2004-04,0.633,
2004-05,0.638,
2004-06,0.600,
2004-07,0.510,
2004-08,0.505,
2004-09,0.493,
2004-10,0.523,
2004-11,0.524,
2004-12,0.455,
2005-01,0.497,
2005-02,0.512,
2005-03,0.530,
2005-04,0.551,
2005-05,0.548,
2005-06,0.572,
2005-07,0.566,
2005-08,0.547,
2005-09,0.585,
2005-10,0.575,
2005-11,0.623,
2005-12,0.558,
2006-01,0.542,
2006-02,0.565,
2006-03,0.631,
2006-04,0.634,
2006-05,0.693,
2006-06,0.708,
2006-07,0.732,
2006-08,0.715,
2006-09,0.801,
2006-10,0.803,
2006-11,0.818,
2006-12,0.712,
2007-01,0.738,
2007-02,0.784,
2007-03,0.865,
2007-04,0.882,
2007-05,0.925,
2007-06,0.886,
2007-07,0.826,
2007-08,0.863,
2007-09,0.882,
2007-10,0.940,
2007-11,0.969,
2007-12,0.865,
2008-01,0.889,
2008-02,0.997,
2008-03,0.979,
2008-04,1.009,
2008-05,0.990,
2008-06,1.120,
2008-07,1.207,
2008-08,1.139,
2008-09,1.263,
2008-10,1.248,
2008-11,1.202,
2008-12,1.066,
2009-01,0.970,
2009-02,0.945,
2009-03,0.946,
2009-04,0.873,
2009-05,0.851,
2009-06,0.844,
2009-07,0.818,
2009-08,0.857,
2009-09,0.882,
2009-10,0.967,
2009-11,0.987,
2009-12,0.889,
2010-01,0.823,
2010-02,0.927,
2010-03,1.016,
2010-04,0.999,
2010-05,1.100,
2010-06,1.071,
2010-07,0.945,
2010-08,0.970,
2010-09,0.940,
2010-10,0.922,
2010-11,1.016,
2010-12,0.928,
2011-01,0.897,
2011-02,0.942,
2011-03,0.879,
2011-04,0.879,
2011-05,0.925,
2011-06,0.865,
2011-07,0.801,
2011-08,0.859,
2011-09,0.906,
2011-10,0.908,
2011-11,1.021,
2011-12,0.937,
2012-01,0.870,
2012-02,0.968,
2012-03,1.016,
2012-04,0.985,
2012-05,0.973,
2012-06,0.955,
2012-07,0.920,
2012-08,0.897,
2012-09,1.012,
2012-10,1.106,
2012-11,1.095,
2012-12,1.105,
2013-01,0.967,
2013-02,0.992,
2013-03,0.963,
2013-04,0.912,
2013-05,0.914,
2013-06,0.891,
2013-07,0.816,
2013-08,0.883,
2013-09,0.978,
2013-10,1.047,
2013-11,1.035,
2013-12,0.876,
2014-01,0.883,
2014-02,0.967,
2014-03,0.998,
2014-04,0.960,
2014-05,1.013,
2014-06,1.034,
2014-07,0.919,
2014-08,0.933,
2014-09,1.037,
2014-10,1.051,
2014-11,1.222,
2014-12,0.978,
