"",BBSF2.M.1.T.00000.DRE01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DRE01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Bonds funds / Securities total,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:30,
2009-09,4273,
2009-10,4318,
2009-11,4446,
2009-12,4507,
2010-01,4585,
2010-02,4724,
2010-03,4944,
2010-04,5111,
2010-05,5026,
2010-06,5008,
2010-07,5067,
2010-08,5146,
2010-09,5336,
2010-10,5509,
2010-11,5643,
2010-12,5799,
2011-01,5845,
2011-02,5906,
2011-03,5865,
2011-04,5928,
2011-05,6244,
2011-06,6203,
2011-07,6309,
2011-08,6189,
2011-09,6243,
2011-10,6524,
2011-11,6408,
2011-12,6722,
2012-01,6981,
2012-02,6950,
2012-03,7017,
2012-04,7160,
2012-05,7115,
2012-06,7240,
2012-07,7522,
2012-08,7299,
2012-09,7397,
2012-10,7386,
2012-11,7530,
2012-12,7638,
2013-01,7825,
2013-02,7893,
2013-03,7984,
2013-04,8245,
2013-05,8262,
2013-06,7867,
2013-07,7930,
2013-08,7807,
2013-09,7849,
2013-10,8112,
2013-11,8194,
2013-12,8190,
2014-01,8218,
2014-02,8340,
2014-03,8462,
2014-04,3238,
2014-05,3313,
2014-06,3335,
2014-07,3445,
2014-08,3496,
2014-09,3241,
2014-10,3275,
2014-11,3320,
