"",BBK01.OEYB17M,BBK01.OEYB17M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:22,
2002-01,30.832,
2002-04,30.871,
2002-07,32.103,
2002-10,32.513,
2003-01,32.630,
2003-04,33.321,
2003-07,34.234,
2003-10,33.352,
2004-01,33.883,
2004-04,33.761,
2004-07,32.181,
2004-10,32.757,
2005-01,31.404,
2005-04,31.895,
2005-07,32.962,
2005-10,33.262,
2006-01,33.411,
2006-04,33.552,
2006-07,33.619,
2006-10,34.201,
2007-01,34.291,
2007-04,34.715,
2007-07,35.125,
2007-10,35.272,
2008-01,35.255,
2008-04,35.529,
2008-07,36.015,
2008-10,36.259,
2009-01,36.136,
2009-04,36.346,
2009-07,36.553,
2009-10,36.636,
2010-01,36.350,
2010-04,36.057,
2010-07,35.796,
2010-10,35.698,
2011-01,35.434,
2011-04,35.281,
2011-07,34.782,
2011-10,34.508,
2012-01,34.191,
2012-04,34.053,
2012-07,33.757,
2012-10,33.610,
2013-01,33.247,
2013-04,32.991,
2013-07,32.929,
2013-10,32.665,
2014-01,32.380,
2014-04,32.118,
2014-07,31.868,
