"",BBK01.CEHQ03,BBK01.CEHQ03_FLAGS
"",short- term time deposits debtor: All sectors                    creditor: Monetary financial institutions,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:16:47,
1991-01,-29.2,
1991-04,-17.5,
1991-07,-10.5,
1991-10,52.5,
1992-01,-56.2,
1992-04,-25.3,
1992-07,2.0,
1992-10,16.6,
1993-01,-17.6,
1993-04,0.5,
1993-07,-4.7,
1993-10,53.9,
1994-01,-43.0,
1994-04,-26.8,
1994-07,-3.9,
1994-10,43.9,
1995-01,-18.7,
1995-04,1.9,
1995-07,12.8,
1995-10,34.5,
1996-01,-6.5,
1996-04,-11.8,
1996-07,0.4,
1996-10,50.9,
1997-01,-24.1,
1997-04,11.1,
1997-07,1.5,
1997-10,48.9,
1998-01,-40.0,
1998-04,10.9,
1998-07,-15.0,
1998-10,69.3,
1999-01,-114.2,
1999-04,0.3,
1999-07,29.3,
1999-10,14.3,
2000-01,-32.5,
2000-04,-16.5,
2000-07,14.4,
2000-10,89.1,
2001-01,-25.9,
2001-04,-21.9,
2001-07,24.9,
2001-10,41.2,
2002-01,-54.5,
2002-04,27.1,
2002-07,38.7,
2002-10,101.0,
2003-01,-3.5,
2003-04,56.1,
2003-07,-50.2,
2003-10,66.9,
2004-01,-42.2,
2004-04,94.7,
2004-07,-12.2,
2004-10,122.8,
2005-01,-43.5,
2005-04,28.5,
2005-07,31.4,
2005-10,19.7,
2006-01,34.9,
2006-04,51.9,
2006-07,-21.0,
2006-10,60.7,
2007-01,1.0,
2007-04,12.9,
2007-07,53.3,
2007-10,133.0,
2008-01,-111.6,
2008-04,1.2,
2008-07,71.6,
2008-10,24.1,
2009-01,-204.3,
2009-04,19.0,
2009-07,-129.6,
2009-10,25.0,
2010-01,-65.8,
2010-04,34.6,
2010-07,-157.0,
2010-10,-28.8,
2011-01,-81.4,
2011-04,-46.0,
2011-07,-5.3,
2011-10,33.4,
2012-01,-52.2,
2012-04,-55.8,
2012-07,-34.1,
2012-10,-30.8,
2013-01,-5.9,
2013-04,-8.2,
2013-07,-18.6,
2013-10,44.3,
2014-01,10.9,
