"",BBK01.OEAJ02P,BBK01.OEAJ02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:07,
2002-01,1.320,
2002-04,1.269,
2002-07,1.456,
2002-10,1.415,
2003-01,1.448,
2003-04,1.450,
2003-07,1.434,
2003-10,1.538,
2004-01,1.376,
2004-04,1.485,
2004-07,1.499,
2004-10,1.785,
2005-01,1.474,
2005-04,1.646,
2005-07,1.774,
2005-10,1.662,
2006-01,1.761,
2006-04,1.734,
2006-07,1.608,
2006-10,1.855,
2007-01,1.837,
2007-04,1.702,
2007-07,1.901,
2007-10,1.983,
2008-01,1.845,
2008-04,1.771,
2008-07,1.694,
2008-10,2.327,
2009-01,2.184,
2009-04,2.336,
2009-07,2.425,
2009-10,2.973,
2010-01,2.790,
2010-04,3.248,
2010-07,2.986,
2010-10,3.163,
2011-01,2.957,
2011-04,3.119,
2011-07,3.245,
2011-10,3.418,
2012-01,3.060,
2012-04,3.495,
2012-07,3.451,
2012-10,4.319,
2013-01,3.726,
2013-04,3.535,
2013-07,3.648,
2013-10,3.928,
2014-01,3.885,
2014-04,3.567,
2014-07,3.682,
