"",BBK01.CEFN02,BBK01.CEFN02_FLAGS
"",Transferable deposits                                                     debtor: Total           creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:55,
1999-01,314.4,
1999-04,305.9,
1999-07,297.8,
1999-10,269.3,
2000-01,310.5,
2000-04,307.0,
2000-07,282.4,
2000-10,297.8,
2001-01,341.0,
2001-04,361.7,
2001-07,381.3,
2001-10,354.9,
2002-01,335.4,
2002-04,372.1,
2002-07,383.4,
2002-10,380.1,
2003-01,429.4,
2003-04,449.2,
2003-07,417.8,
2003-10,379.3,
2004-01,418.0,
2004-04,405.5,
2004-07,425.2,
2004-10,347.4,
2005-01,439.1,
2005-04,465.6,
2005-07,438.8,
2005-10,378.6,
2006-01,432.0,
2006-04,433.5,
2006-07,426.8,
2006-10,439.1,
2007-01,481.4,
2007-04,502.3,
2007-07,520.5,
2007-10,500.1,
2008-01,551.5,
2008-04,528.6,
2008-07,602.7,
2008-10,654.2,
2009-01,579.0,
2009-04,608.3,
2009-07,546.1,
2009-10,523.2,
2010-01,575.4,
2010-04,712.0,
2010-07,618.6,
2010-10,621.0,
2011-01,614.8,
2011-04,613.2,
2011-07,788.0,
2011-10,733.5,
2012-01,1002.2,
2012-04,1064.8,
2012-07,1013.3,
2012-10,881.9,
2013-01,836.8,
2013-04,818.9,
2013-07,788.8,
2013-10,716.6,
2014-01,724.6,
2014-04,722.8,
2014-07,742.1,
