"",BBK01.OELO02I,BBK01.OELO02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:10,
2002-01,0.378,
2002-04,0.242,
2002-07,0.243,
2002-10,0.253,
2003-01,0.288,
2003-04,0.199,
2003-07,0.221,
2003-10,0.208,
2004-01,0.274,
2004-04,0.155,
2004-07,0.163,
2004-10,0.209,
2005-01,0.220,
2005-04,0.216,
2005-07,0.166,
2005-10,0.162,
2006-01,0.203,
2006-04,0.192,
2006-07,0.205,
2006-10,0.194,
2007-01,0.218,
2007-04,0.181,
2007-07,0.220,
2007-10,0.167,
2008-01,0.220,
2008-04,0.160,
2008-07,0.197,
2008-10,0.209,
2009-01,0.181,
2009-04,0.150,
2009-07,0.161,
2009-10,0.173,
2010-01,0.275,
2010-04,0.152,
2010-07,0.143,
2010-10,0.131,
2011-01,0.165,
2011-04,0.125,
2011-07,0.119,
2011-10,0.097,
2012-01,0.098,
2012-04,0.097,
2012-07,0.125,
2012-10,0.173,
2013-01,0.195,
2013-04,0.157,
2013-07,0.120,
2013-10,0.151,
2014-01,0.155,
2014-04,0.137,
2014-07,0.138,
