"",BBFN1.M.DE.N.1.A.W1.S1P.F0.L.BN00.EUR.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.L.BN00.EUR.BGA.X001.D_FLAGS
"",Long-term claims of enterprises on non-residents arising from financial operations / Deutsche Mark/Euro / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:06:00,
1971-12,1.127,
1972-01,1.181,
1972-02,1.152,
1972-03,1.126,
1972-04,1.132,
1972-05,1.140,
1972-06,1.129,
1972-07,1.148,
1972-08,1.159,
1972-09,1.212,
1972-10,1.220,
1972-11,1.251,
1972-12,1.285,
1973-01,1.270,
1973-02,1.241,
1973-03,1.215,
1973-04,1.159,
1973-05,1.082,
1973-06,1.048,
1973-07,1.061,
1973-08,1.097,
1973-09,1.086,
1973-10,1.083,
1973-11,1.066,
1973-12,1.055,
1974-01,1.060,
1974-02,1.053,
1974-03,1.067,
1974-04,1.078,
1974-05,1.076,
1974-06,1.043,
1974-07,1.039,
1974-08,1.024,
1974-09,1.049,
1974-10,1.059,
1974-11,1.076,
1974-12,1.108,
1975-01,1.173,
1975-02,1.190,
1975-03,1.228,
1975-04,1.220,
1975-05,1.219,
1975-06,1.269,
1975-07,1.320,
1975-08,1.312,
1975-09,1.317,
1975-10,1.368,
1975-11,1.378,
1975-12,1.363,
1976-01,1.364,
1976-02,1.399,
1976-03,1.386,
1976-04,1.408,
1976-05,1.451,
1976-06,1.457,
1976-07,1.448,
1976-08,1.524,
1976-09,1.528,
1976-10,1.506,
1976-11,1.523,
1976-12,1.610,
1977-01,1.611,
1977-02,1.593,
1977-03,1.579,
1977-04,1.599,
1977-05,1.624,
1977-06,1.623,
1977-07,1.801,
1977-08,1.855,
1977-09,1.823,
1977-10,1.835,
1977-11,1.842,
1977-12,1.802,
1978-01,1.839,
1978-02,1.840,
1978-03,1.887,
1978-04,1.925,
1978-05,1.963,
1978-06,1.981,
1978-07,2.024,
1978-08,2.050,
1978-09,2.044,
1978-10,2.050,
1978-11,1.769,
1978-12,1.817,
1979-01,1.912,
1979-02,1.903,
1979-03,1.982,
1979-04,2.000,
1979-05,1.997,
1979-06,2.181,
1979-07,2.184,
1979-08,2.180,
1979-09,2.160,
1979-10,2.522,
1979-11,2.520,
1979-12,2.263,
1980-01,2.536,
1980-02,2.530,
1980-03,2.519,
1980-04,2.486,
1980-05,2.453,
1980-06,2.602,
1980-07,2.598,
1980-08,2.363,
1980-09,2.388,
1980-10,2.457,
1980-11,2.438,
1980-12,2.430,
1981-01,2.507,
1981-02,2.474,
1981-03,2.480,
1981-04,2.555,
1981-05,2.592,
1981-06,2.612,
1981-07,2.699,
1981-08,2.753,
1981-09,2.605,
1981-10,2.640,
1981-11,2.669,
1981-12,2.704,
1982-01,2.751,
1982-02,2.939,
1982-03,3.003,
1982-04,3.046,
1982-05,3.051,
1982-06,3.089,
1982-07,3.099,
1982-08,3.153,
1982-09,3.185,
1982-10,3.277,
1982-11,3.285,
1982-12,3.394,
1983-01,3.365,
1983-02,3.390,
1983-03,3.514,
1983-04,3.481,
1983-05,3.553,
1983-06,3.560,
1983-07,3.586,
1983-08,3.601,
1983-09,3.611,
1983-10,3.526,
1983-11,3.678,
1983-12,3.722,
1984-01,3.780,
1984-02,3.804,
1984-03,3.870,
1984-04,3.908,
1984-05,3.936,
1984-06,3.932,
1984-07,3.974,
1984-08,4.034,
1984-09,3.944,
1984-10,4.057,
1984-11,4.138,
1984-12,4.111,
1985-01,4.176,
1985-02,4.219,
1985-03,4.427,
1985-04,4.452,
1985-05,4.305,
1985-06,4.393,
1985-07,4.375,
1985-08,4.222,
1985-09,4.326,
1985-10,4.576,
1985-11,4.861,
1985-12,4.814,
1986-01,4.814,
1986-02,4.777,
1986-03,4.677,
1986-04,4.836,
1986-05,4.782,
1986-06,4.796,
1986-07,4.825,
1986-08,4.863,
1986-09,4.834,
1986-10,4.833,
1986-11,4.920,
1986-12,4.886,
1987-01,4.855,
1987-02,4.920,
1987-03,4.885,
1987-04,4.843,
1987-05,4.887,
1987-06,4.871,
1987-07,4.895,
1987-08,4.737,
1987-09,4.723,
1987-10,4.886,
1987-11,4.938,
1987-12,4.979,
1988-01,5.035,
1988-02,5.165,
1988-03,5.267,
1988-04,5.392,
1988-05,5.446,
1988-06,5.371,
1988-07,5.246,
1988-08,5.335,
1988-09,5.220,
1988-10,5.083,
1988-11,5.020,
1988-12,4.978,
1989-01,5.025,
1989-02,5.083,
1989-03,6.012,
1989-04,6.008,
1989-05,6.210,
1989-06,6.149,
1989-07,6.080,
1989-08,6.123,
1989-09,6.176,
1989-10,6.211,
1989-11,6.224,
1989-12,6.029,
1990-01,6.326,
1990-02,6.921,
1990-03,6.977,
1990-04,7.115,
1990-05,7.201,
1990-06,7.143,
1990-07,6.952,
1990-08,6.557,
1990-09,6.588,
1990-10,6.568,
1990-11,6.610,
1990-12,6.591,
1991-01,6.744,
1991-02,6.845,
1991-03,6.824,
1991-04,6.965,
1991-05,6.826,
1991-06,6.872,
1991-07,7.189,
1991-08,7.387,
1991-09,7.214,
1991-10,7.204,
1991-11,7.179,
1991-12,7.118,
1992-01,7.243,
1992-02,6.698,
1992-03,6.636,
1992-04,6.669,
1992-05,6.722,
1992-06,6.649,
1992-07,6.641,
1992-08,6.762,
1992-09,6.744,
1992-10,6.768,
1992-11,6.878,
1992-12,7.296,
1993-01,7.142,
1993-02,7.195,
1993-03,7.079,
1993-04,7.285,
1993-05,7.250,
1993-06,7.355,
1993-07,7.340,
1993-08,7.715,
1993-09,7.619,
1993-10,7.510,
1993-11,7.558,
1993-12,7.370,
1994-01,7.243,
1994-02,7.223,
1994-03,7.309,
1994-04,7.322,
1994-05,7.076,
1994-06,7.034,
1994-07,6.678,
1994-08,7.197,
1994-09,6.673,
1994-10,7.009,
1994-11,6.996,
1994-12,6.822,
1995-01,6.408,
1995-02,6.417,
1995-03,6.076,
1995-04,6.085,
1995-05,6.111,
1995-06,6.630,
1995-07,6.562,
1995-08,6.798,
1995-09,7.291,
1995-10,7.659,
1995-11,7.617,
1995-12,6.913,
1996-01,6.911,
1996-02,7.021,
1996-03,6.868,
1996-04,6.830,
1996-05,6.927,
1996-06,6.545,
1996-07,6.477,
1996-08,6.562,
1996-09,6.518,
1996-10,6.286,
1996-11,7.848,
1996-12,7.690,
