"",BBK01.OEYB02T,BBK01.OEYB02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:39,
2002-01,0.070,
2002-04,0.085,
2002-07,0.119,
2002-10,0.114,
2003-01,0.146,
2003-04,0.141,
2003-07,0.152,
2003-10,0.139,
2004-01,0.174,
2004-04,0.154,
2004-07,0.148,
2004-10,0.189,
2005-01,0.204,
2005-04,0.228,
2005-07,0.246,
2005-10,0.236,
2006-01,0.202,
2006-04,0.202,
2006-07,0.166,
2006-10,0.153,
2007-01,0.160,
2007-04,0.196,
2007-07,0.189,
2007-10,0.144,
2008-01,0.131,
2008-04,0.131,
2008-07,0.135,
2008-10,0.182,
2009-01,0.559,
2009-04,0.158,
2009-07,0.160,
2009-10,0.206,
2010-01,0.222,
2010-04,0.170,
2010-07,0.168,
2010-10,0.140,
2011-01,0.156,
2011-04,0.132,
2011-07,0.108,
2011-10,0.161,
2012-01,0.070,
2012-04,0.130,
2012-07,0.169,
2012-10,0.166,
2013-01,0.160,
2013-04,0.340,
2013-07,0.301,
2013-10,0.239,
2014-01,0.187,
2014-04,0.130,
2014-07,0.217,
