"",BBK01.CEL7L0,BBK01.CEL7L0_FLAGS
"",Other accounts payable debtor: Pension funds        creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:50:53,
1999-01,-1.7,
1999-04,-1.9,
1999-07,-2.0,
1999-10,-6.3,
2000-01,-2.0,
2000-04,-1.6,
2000-07,-2.7,
2000-10,-6.5,
2001-01,-2.2,
2001-04,-0.4,
2001-07,-1.2,
2001-10,-1.5,
2002-01,-0.8,
2002-04,-2.7,
2002-07,-2.2,
2002-10,1.1,
2003-01,-1.9,
2003-04,-1.2,
2003-07,-1.9,
2003-10,2.6,
2004-01,-1.3,
2004-04,-0.9,
2004-07,-0.9,
2004-10,-2.3,
2005-01,0.0,
2005-04,-1.2,
2005-07,0.2,
2005-10,-4.2,
2006-01,-6.6,
2006-04,-0.2,
2006-07,-4.4,
2006-10,1.0,
2007-01,-7.4,
2007-04,-1.7,
2007-07,-5.1,
2007-10,-6.7,
2008-01,-1.4,
2008-04,-2.7,
2008-07,-1.5,
2008-10,-2.9,
2009-01,-6.1,
2009-04,-1.4,
2009-07,-0.8,
2009-10,-5.5,
2010-01,-8.9,
2010-04,-3.7,
2010-07,2.7,
2010-10,-0.7,
2011-01,-6.2,
2011-04,0.2,
2011-07,-0.6,
2011-10,-1.6,
2012-01,-4.9,
2012-04,-2.4,
2012-07,0.4,
2012-10,5.8,
2013-01,0.3,
2013-04,-2.9,
2013-07,3.3,
2013-10,-2.4,
2014-01,-4.7,
2014-04,-1.9,
2014-07,-3.4,
