"",BBK01.OEYB22N,BBK01.OEYB22N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:33:35,
2002-01,2.628,
2002-04,1.822,
2002-07,2.034,
2002-10,2.695,
2003-01,3.991,
2003-04,2.980,
2003-07,2.072,
2003-10,2.201,
2004-01,6.073,
2004-04,3.990,
2004-07,3.502,
2004-10,5.807,
2005-01,6.039,
2005-04,5.146,
2005-07,5.422,
2005-10,4.731,
2006-01,6.180,
2006-04,3.909,
2006-07,3.713,
2006-10,3.107,
2007-01,5.040,
2007-04,2.077,
2007-07,1.908,
2007-10,1.781,
2008-01,2.497,
2008-04,2.327,
2008-07,2.907,
2008-10,2.663,
2009-01,1.878,
2009-04,3.028,
2009-07,4.565,
2009-10,4.356,
2010-01,4.206,
2010-04,17.730,
2010-07,10.732,
2010-10,11.324,
2011-01,9.407,
2011-04,6.192,
2011-07,4.604,
2011-10,3.913,
2012-01,6.878,
2012-04,14.636,
2012-07,10.914,
2012-10,2.351,
2013-01,2.307,
2013-04,2.496,
2013-07,2.317,
2013-10,2.458,
2014-01,2.519,
2014-04,2.397,
2014-07,3.118,
