"",BBK01.OEAH59P,BBK01.OEAH59P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:44,
2002-01,1.314,
2002-04,1.259,
2002-07,1.238,
2002-10,1.250,
2003-01,1.231,
2003-04,1.156,
2003-07,1.128,
2003-10,1.120,
2004-01,1.113,
2004-04,1.108,
2004-07,1.120,
2004-10,1.104,
2005-01,1.141,
2005-04,1.137,
2005-07,1.119,
2005-10,1.144,
2006-01,1.146,
2006-04,1.126,
2006-07,1.135,
2006-10,1.180,
2007-01,1.253,
2007-04,1.297,
2007-07,1.389,
2007-10,1.513,
2008-01,1.631,
2008-04,1.719,
2008-07,1.921,
2008-10,2.191,
2009-01,1.925,
2009-04,1.692,
2009-07,1.428,
2009-10,1.280,
2010-01,1.139,
2010-04,1.074,
2010-07,1.002,
2010-10,1.021,
2011-01,1.031,
2011-04,1.050,
2011-07,1.074,
2011-10,1.198,
2012-01,1.258,
2012-04,1.208,
2012-07,1.131,
2012-10,1.095,
2013-01,0.957,
2013-04,0.941,
2013-07,0.911,
2013-10,0.922,
2014-01,0.886,
2014-04,0.863,
2014-07,0.867,
