"",BBK01.OEAC01S,BBK01.OEAC01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:49:32,
2002-01,11.912,
2002-04,11.832,
2002-07,11.724,
2002-10,11.375,
2003-01,11.168,
2003-04,11.224,
2003-07,11.135,
2003-10,11.002,
2004-01,10.942,
2004-04,10.926,
2004-07,10.879,
2004-10,9.254,
2005-01,9.330,
2005-04,9.309,
2005-07,9.236,
2005-10,9.153,
2006-01,9.139,
2006-04,9.205,
2006-07,9.205,
2006-10,9.122,
2007-01,9.175,
2007-04,9.089,
2007-07,9.202,
2007-10,9.364,
2008-01,9.388,
2008-04,9.452,
2008-07,9.520,
2008-10,9.628,
2009-01,9.759,
2009-04,10.048,
2009-07,10.244,
2009-10,10.571,
2010-01,10.608,
2010-04,10.731,
2010-07,10.890,
2010-10,11.189,
2011-01,11.256,
2011-04,11.629,
2011-07,11.761,
2011-10,12.250,
2012-01,12.433,
2012-04,13.152,
2012-07,13.383,
2012-10,13.499,
2013-01,13.649,
2013-04,13.800,
2013-07,13.944,
2013-10,14.034,
2014-01,14.071,
2014-04,14.099,
2014-07,14.238,
