"",BBK01.OEXJ02L,BBK01.OEXJ02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:30,
2002-01,9.180,
2002-04,9.727,
2002-07,11.621,
2002-10,10.823,
2003-01,11.263,
2003-04,12.940,
2003-07,12.128,
2003-10,10.053,
2004-01,11.587,
2004-04,11.528,
2004-07,12.883,
2004-10,10.752,
2005-01,12.081,
2005-04,12.683,
2005-07,12.550,
2005-10,12.402,
2006-01,15.382,
2006-04,16.810,
2006-07,18.421,
2006-10,17.478,
2007-01,18.591,
2007-04,19.608,
2007-07,20.562,
2007-10,20.581,
2008-01,23.892,
2008-04,24.201,
2008-07,23.142,
2008-10,26.412,
2009-01,25.308,
2009-04,29.728,
2009-07,20.507,
2009-10,18.745,
2010-01,19.884,
2010-04,21.199,
2010-07,22.016,
2010-10,20.581,
2011-01,24.058,
2011-04,24.612,
2011-07,28.038,
2011-10,24.874,
2012-01,26.112,
2012-04,24.887,
2012-07,26.827,
2012-10,27.567,
2013-01,28.891,
2013-04,29.577,
2013-07,30.238,
2013-10,28.291,
2014-01,28.177,
2014-04,30.667,
2014-07,38.697,
