"",BBFB1.Q.N.DE.IE.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.IE.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Ireland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:37,
1991-01,1613.291,
1991-04,244.326,
1991-07,809.337,
1991-10,1130.575,
1992-01,277.422,
1992-04,167.659,
1992-07,92.618,
1992-10,-122.669,
1993-01,103.569,
1993-04,-219.216,
1993-07,535.210,
1993-10,557.793,
1994-01,384.810,
1994-04,142.191,
1994-07,-75.163,
1994-10,-47.382,
1995-01,-106.829,
1995-04,722.711,
1995-07,-1079.643,
1995-10,281.471,
1996-01,-20.758,
1996-04,-636.646,
1996-07,56.259,
1996-10,-12.261,
1997-01,451.759,
1997-04,791.480,
1997-07,919.765,
1997-10,599.127,
1998-01,276.248,
1998-04,432.022,
1998-07,307.671,
1998-10,-380.512,
1999-01,738.154,
1999-04,-220.963,
1999-07,-443.296,
1999-10,-368.109,
2000-01,-1435.431,
2000-04,46.617,
2000-07,252.769,
2000-10,-94.254,
2001-01,305.660,
2001-04,375.712,
2001-07,-414.369,
2001-10,247.300,
2002-01,1147.686,
2002-04,-749.142,
2002-07,526.017,
2002-10,-1902.046,
2003-01,948.721,
2003-04,572.332,
2003-07,334.041,
2003-10,-1138.845,
2004-01,1767.263,
2004-04,-178.123,
2004-07,405.308,
2004-10,-414.768,
2005-01,702.878,
2005-04,1679.354,
2005-07,1323.391,
2005-10,-1312.773,
2006-01,-866.554,
2006-04,-331.882,
2006-07,217.525,
2006-10,-997.646,
2007-01,-4.416,
2007-04,224.289,
2007-07,184.056,
2007-10,3452.460,
2008-01,80.455,
2008-04,1144.990,
2008-07,-1128.295,
2008-10,1430.794,
2009-01,200.337,
2009-04,-1641.613,
2009-07,-425.717,
2009-10,603.623,
2010-01,347.758,
2010-04,-445.783,
2010-07,3253.488,
2010-10,66.883,
2011-01,531.577,
2011-04,629.314,
2011-07,244.859,
2011-10,1126.520,
2012-01,1028.579,
2012-04,-440.788,
2012-07,-531.173,
2012-10,-651.918,
2013-01,696.801,
2013-04,275.197,
2013-07,905.205,
2013-10,286.600,
2014-01,490.786,Provisional value
2014-04,180.264,Provisional value
2014-07,225.425,Provisional value
2014-10,459.727,Provisional value
