"",BBK01.OECI02S,BBK01.OECI02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:30,
2002-01,1.060,
2002-04,1.190,
2002-07,1.166,
2002-10,1.137,
2003-01,1.039,
2003-04,1.030,
2003-07,1.042,
2003-10,1.130,
2004-01,1.023,
2004-04,1.052,
2004-07,1.043,
2004-10,1.089,
2005-01,1.525,
2005-04,1.391,
2005-07,1.408,
2005-10,1.526,
2006-01,1.415,
2006-04,1.445,
2006-07,1.443,
2006-10,1.673,
2007-01,1.633,
2007-04,1.527,
2007-07,1.523,
2007-10,1.676,
2008-01,1.575,
2008-04,1.549,
2008-07,1.650,
2008-10,1.818,
2009-01,1.842,
2009-04,1.976,
2009-07,1.826,
2009-10,1.966,
2010-01,1.906,
2010-04,1.994,
2010-07,2.014,
2010-10,2.168,
2011-01,2.020,
2011-04,2.001,
2011-07,2.048,
2011-10,2.277,
2012-01,2.266,
2012-04,2.202,
2012-07,2.282,
2012-10,2.456,
2013-01,2.386,
2013-04,2.417,
2013-07,2.416,
2013-10,2.631,
2014-01,2.568,
2014-04,2.561,
2014-07,2.632,
