"",BBK01.OEAH18S,BBK01.OEAH18S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:14,
2002-01,2.679,
2002-04,2.557,
2002-07,2.502,
2002-10,2.335,
2003-01,2.107,
2003-04,2.012,
2003-07,1.964,
2003-10,1.895,
2004-01,1.730,
2004-04,1.646,
2004-07,1.639,
2004-10,1.743,
2005-01,1.709,
2005-04,1.758,
2005-07,1.733,
2005-10,1.748,
2006-01,1.857,
2006-04,1.921,
2006-07,2.053,
2006-10,2.039,
2007-01,2.282,
2007-04,2.492,
2007-07,2.666,
2007-10,2.795,
2008-01,3.019,
2008-04,3.137,
2008-07,3.451,
2008-10,3.258,
2009-01,2.671,
2009-04,2.166,
2009-07,1.843,
2009-10,1.577,
2010-01,1.465,
2010-04,1.502,
2010-07,1.601,
2010-10,1.493,
2011-01,1.690,
2011-04,1.707,
2011-07,1.721,
2011-10,2.302,
2012-01,2.479,
2012-04,2.580,
2012-07,2.567,
2012-10,2.444,
2013-01,2.126,
2013-04,2.432,
2013-07,2.255,
2013-10,2.190,
2014-01,2.225,
2014-04,2.205,
2014-07,2.101,
