"",BBK01.OEAH92Q,BBK01.OEAH92Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:30,
2002-01,0.055,
2002-04,0.054,
2002-07,0.054,
2002-10,0.054,
2003-01,0.052,
2003-04,0.051,
2003-07,0.050,
2003-10,0.050,
2004-01,0.080,
2004-04,0.046,
2004-07,0.045,
2004-10,0.044,
2005-01,0.027,
2005-04,0.026,
2005-07,0.025,
2005-10,0.025,
2006-01,0.021,
2006-04,0.019,
2006-07,0.019,
2006-10,0.020,
2007-01,0.015,
2007-04,0.020,
2007-07,0.020,
2007-10,0.020,
2008-01,0.021,
2008-04,0.021,
2008-07,0.021,
2008-10,0.023,
2009-01,0.023,
2009-04,0.022,
2009-07,0.021,
2009-10,0.020,
2010-01,0.022,
2010-04,0.023,
2010-07,0.080,
2010-10,0.100,
2011-01,0.101,
2011-04,0.101,
2011-07,0.100,
2011-10,0.099,
2012-01,0.098,
2012-04,0.098,
2012-07,0.099,
2012-10,0.096,
2013-01,0.097,
2013-04,0.092,
2013-07,0.095,
2013-10,0.090,
2014-01,0.059,
2014-04,0.058,
2014-07,0.034,
