"",BBK01.OEAD27I,BBK01.OEAD27I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:09,
2002-01,0.048,
2002-04,0.047,
2002-07,0.043,
2002-10,0.048,
2003-01,0.046,
2003-04,0.048,
2003-07,0.032,
2003-10,0.031,
2004-01,0.036,
2004-04,0.039,
2004-07,0.040,
2004-10,0.040,
2005-01,0.043,
2005-04,0.058,
2005-07,0.059,
2005-10,0.062,
2006-01,0.060,
2006-04,0.072,
2006-07,0.065,
2006-10,0.065,
2007-01,0.070,
2007-04,0.066,
2007-07,0.067,
2007-10,0.064,
2008-01,0.053,
2008-04,0.061,
2008-07,0.058,
2008-10,0.042,
2009-01,0.044,
2009-04,0.045,
2009-07,0.035,
2009-10,0.041,
2010-01,0.040,
2010-04,0.033,
2010-07,0.031,
2010-10,0.029,
2011-01,0.034,
2011-04,0.033,
2011-07,0.034,
2011-10,0.046,
2012-01,0.039,
2012-04,0.062,
2012-07,0.066,
2012-10,0.078,
2013-01,0.079,
2013-04,0.084,
2013-07,0.085,
2013-10,0.081,
2014-01,0.082,
2014-04,0.083,
2014-07,0.085,
