"",BBDE1.M.DE.Y.AEA1.N2C270000.F.V.I10.A,BBDE1.M.DE.Y.AEA1.N2C270000.F.V.I10.A_FLAGS
"",Orders received / At current prices / Germany / 27 Manufacture of electrical equipment / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:35,
1991-01,66.9,
1991-02,67.7,
1991-03,65.0,
1991-04,70.2,
1991-05,64.8,
1991-06,67.1,
1991-07,63.7,
1991-08,66.0,
1991-09,64.6,
1991-10,66.4,
1991-11,69.1,
1991-12,69.7,
1992-01,71.9,
1992-02,68.8,
1992-03,75.7,
1992-04,68.0,
1992-05,70.0,
1992-06,66.9,
1992-07,65.6,
1992-08,64.2,
1992-09,64.2,
1992-10,64.2,
1992-11,66.8,
1992-12,63.0,
1993-01,70.4,
1993-02,65.8,
1993-03,62.1,
1993-04,63.3,
1993-05,63.1,
1993-06,60.7,
1993-07,66.4,
1993-08,63.4,
1993-09,63.8,
1993-10,62.5,
1993-11,62.1,
1993-12,66.9,
1994-01,71.6,
1994-02,70.3,
1994-03,69.7,
1994-04,67.5,
1994-05,67.3,
1994-06,69.7,
1994-07,69.9,
1994-08,71.1,
1994-09,80.6,
1994-10,74.6,
1994-11,73.2,
1994-12,88.6,
1995-01,73.8,
1995-02,74.8,
1995-03,72.9,
1995-04,75.0,
1995-05,71.0,
1995-06,71.2,
1995-07,71.0,
1995-08,67.9,
1995-09,77.0,
1995-10,62.9,
1995-11,64.3,
1995-12,75.9,
1996-01,71.5,
1996-02,68.9,
1996-03,74.3,
1996-04,66.7,
1996-05,68.8,
1996-06,72.1,
1996-07,70.2,
1996-08,70.7,
1996-09,74.2,
1996-10,69.7,
1996-11,69.4,
1996-12,75.1,
1997-01,72.0,
1997-02,72.4,
1997-03,75.9,
1997-04,76.2,
1997-05,73.1,
1997-06,78.2,
1997-07,75.8,
1997-08,77.1,
1997-09,80.7,
1997-10,75.2,
1997-11,81.0,
1997-12,76.9,
1998-01,78.5,
1998-02,78.2,
1998-03,78.7,
1998-04,80.7,
