"",BBEX3.M.KES.EUR.CA.AB.A01,BBEX3.M.KES.EUR.CA.AB.A01_FLAGS
"",Exchange rates (indicative rates) for the euro in Kenya / EUR 1 = KES ... (selling),
unit,KES (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:23,
1999-01,70.6614,
1999-02,70.2942,
1999-03,69.6429,
1999-04,71.8893,
1999-05,73.6720,
1999-06,76.1164,
1999-07,79.6956,
1999-08,78.9294,
1999-09,81.9023,
1999-10,79.3547,
1999-11,76.0989,
1999-12,75.0040,
2000-01,71.5902,
2000-02,71.7264,
2000-03,72.5093,
2000-04,69.0199,
2000-05,72.4529,
2000-06,75.5469,
2000-07,69.0952,
2000-08,68.7502,
2000-09,69.5414,
2000-10,66.8126,
2000-11,69.2344,
2000-12,72.6006,
2001-01,72.9888,
2001-02,71.8144,
2001-03,68.6972,
2001-04,69.2797,
2001-05,68.2008,
2001-06,66.8723,
2001-07,69.0874,
2001-08,72.5921,
2001-09,73.4583,
2001-10,71.7916,
2001-11,70.1551,
2001-12,69.6575,
2002-01,67.8656,
2002-02,67.7152,
2002-03,68.2766,
2002-04,70.8113,
2002-05,73.5400,
2002-06,77.9172,
2002-07,77.5098,
2002-08,77.5679,
2002-09,77.7766,
2002-10,78.7299,
2002-11,79.5957,
2002-12,80.8980,
2003-01,84.1798,
2003-02,82.4135,
2003-03,83.1113,
2003-04,82.9397,
2003-05,87.1719,
2003-06,85.0506,
2003-07,85.6872,
2003-08,83.5520,
2003-09,91.3166,
2003-10,91.2609,
2003-11,91.1870,
2003-12,95.7710,
2004-01,95.0577,
2004-02,95.2384,
2004-03,95.3850,
2004-04,93.9057,
2004-05,97.8346,
2004-06,96.2308,
2004-07,96.9540,
2004-08,96.8304,
2004-09,100.1400,
2004-10,103.6811,
2004-11,108.3144,
2004-12,105.4744,
2005-01,100.1622,
2005-02,100.2740,
2005-03,97.0958,
2005-04,99.4330,
2005-05,95.8662,
2005-06,92.2303,
2005-07,92.3608,
2005-08,92.5563,
2005-09,89.2736,
2005-10,88.8171,
2005-11,87.9567,
2005-12,86.0431,
2006-01,87.2233,
2006-02,86.9210,
2006-03,87.4103,
2006-04,89.2853,
2006-05,93.1664,
2006-06,94.1041,
2006-07,93.9638,
2006-08,93.2967,
2006-09,92.3958,
2006-10,91.6768,
2006-11,92.2341,
2006-12,91.4872,
2007-01,91.5247,
2007-02,92.2914,
2007-03,91.8667,
2007-04,93.0363,
2007-05,90.0767,
2007-06,89.6346,
2007-07,92.6116,
2007-08,91.6671,
2007-09,94.9314,
2007-10,96.9871,
2007-11,95.0446,
2007-12,89.9830,comment
2008-01,105.0800,
2008-02,104.9333,
2008-03,99.3411,
2008-04,97.1337,
2008-05,96.2730,
2008-06,102.2633,
2008-07,105.0767,
2008-08,101.5167,
2008-09,105.4000,
2008-10,102.1144,
2008-11,100.5378,
2008-12,109.6078,
2009-01,102.6678,
2009-02,101.5711,
2009-03,106.5356,
2009-04,104.8978,
2009-05,109.7989,
2009-06,109.1822,
2009-07,108.3233,
2009-08,108.8378,
2009-09,109.8209,
2009-10,111.7606,
2009-11,112.9040,
2009-12,109.0884,
2010-01,106.0028,
2010-02,104.6112,
2010-03,103.8396,
2010-04,102.5817,
2010-05,98.3141,
2010-06,100.2089,
2010-07,105.0141,
2010-08,102.6435,
2010-09,109.8251,
2010-10,112.2706,
2010-11,106.5000,
2010-12,107.7472,
2011-01,110.7714,
2011-02,113.5118,
2011-03,117.6344,
2011-04,123.8928,
2011-05,123.5968,
2011-06,130.4317,
2011-07,130.3244,
2011-08,136.1106,
2011-09,135.6267,
2011-10,140.0800,
2011-11,119.7250,
2011-12,110.2467,
2012-01,111.7817,
2012-02,111.9100,
2012-03,110.9950,
2012-04,110.4261,
2012-05,107.7544,
2012-06,106.0956,
2012-07,103.5317,
2012-08,105.5656,
2012-09,110.2839,
2012-10,110.4950,
2012-11,111.7311,
2012-12,113.6528,
2013-01,119.0822,
2013-02,113.5872,
2013-03,109.6772,
2013-04,110.0811,
2013-05,111.0489,
2013-06,112.5300,
2013-07,115.8988,
2013-08,116.1867,
2013-09,117.0372,
2013-10,116.8335,
2013-11,118.6061,
2013-12,119.3287,
2014-01,116.9811,
2014-02,118.4806,
2014-03,119.0439,
2014-04,120.1806,
2014-05,119.5683,
2014-06,119.6894,
2014-07,117.7667,
2014-08,116.6189,
2014-09,113.4167,
2014-10,112.4711,
2014-11,112.4006,
2014-12,110.2606,
2015-01,103.9894,
2015-02,102.5978,
"","General: The term ""Kenya pound"" is a unit of account equivalent to 20 Kenya shillings.",
"","Source: Central Bank of Kenya, Nairobi",
"",Comment on 2007-12: Exchange rate as of 20 December 2007.,
