"",BBK01.OELI08V,BBK01.OELI08V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:15,
2002-01,2.259,
2002-04,2.224,
2002-07,2.229,
2002-10,2.346,
2003-01,2.406,
2003-04,2.398,
2003-07,2.452,
2003-10,2.541,
2004-01,2.595,
2004-04,2.592,
2004-07,2.574,
2004-10,2.684,
2005-01,2.701,
2005-04,2.696,
2005-07,2.703,
2005-10,2.742,
2006-01,2.725,
2006-04,2.655,
2006-07,2.611,
2006-10,2.526,
2007-01,2.428,
2007-04,2.364,
2007-07,2.348,
2007-10,2.358,
2008-01,2.333,
2008-04,2.275,
2008-07,2.222,
2008-10,2.250,
2009-01,2.287,
2009-04,2.340,
2009-07,2.373,
2009-10,2.493,
2010-01,2.530,
2010-04,2.575,
2010-07,2.635,
2010-10,2.505,
2011-01,2.530,
2011-04,2.647,
2011-07,2.614,
2011-10,2.690,
2012-01,2.695,
2012-04,2.710,
2012-07,2.752,
2012-10,2.801,
2013-01,2.780,
2013-04,2.790,
2013-07,2.823,
2013-10,2.808,
2014-01,2.889,
2014-04,2.812,
2014-07,2.855,
