"",BBDE1.M.DE.Y.AED1.A2P300000.F.V.I10.A,BBDE1.M.DE.Y.AED1.A2P300000.F.V.I10.A_FLAGS
"","Orders received from abroad, Euro-area countries / At current prices / Germany / Industry / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:21,
2003-01,84.2,
2003-02,80.6,
2003-03,79.0,
2003-04,82.3,
2003-05,74.2,
2003-06,82.2,
2003-07,77.5,
2003-08,79.4,
2003-09,79.4,
2003-10,80.2,
2003-11,79.2,
2003-12,79.6,
2004-01,82.9,
2004-02,82.4,
2004-03,83.1,
2004-04,85.4,
2004-05,87.2,
2004-06,88.5,
2004-07,90.0,
2004-08,89.6,
2004-09,93.5,
2004-10,89.1,
2004-11,86.0,
2004-12,88.7,
2005-01,89.8,
2005-02,88.7,
2005-03,91.7,
2005-04,90.1,
2005-05,91.7,
2005-06,89.5,
2005-07,96.4,
2005-08,94.5,
2005-09,96.8,
2005-10,99.3,
2005-11,103.2,
2005-12,106.8,
2006-01,101.8,
2006-02,103.5,
2006-03,101.9,
2006-04,105.2,
2006-05,103.5,
2006-06,101.4,
2006-07,102.2,
2006-08,106.7,
2006-09,103.7,
2006-10,106.2,
2006-11,107.7,
2006-12,109.3,
2007-01,112.2,
2007-02,117.3,
2007-03,115.9,
2007-04,114.2,
2007-05,117.5,
2007-06,134.7,
2007-07,114.9,
2007-08,116.6,
2007-09,118.6,
2007-10,126.6,
2007-11,131.6,
2007-12,126.9,
2008-01,122.6,
2008-02,122.3,
2008-03,119.3,
2008-04,115.9,
2008-05,120.9,
2008-06,109.0,
2008-07,117.7,
2008-08,108.7,
2008-09,102.7,
2008-10,94.6,
2008-11,89.4,
2008-12,77.0,
2009-01,73.5,
2009-02,72.5,
2009-03,75.5,
2009-04,74.9,
2009-05,75.5,
2009-06,81.4,
2009-07,80.9,
2009-08,80.5,
2009-09,89.6,
2009-10,84.2,
2009-11,88.0,
2009-12,82.8,
2010-01,89.7,
2010-02,88.6,
2010-03,97.5,
2010-04,98.7,
2010-05,96.5,
2010-06,103.5,
2010-07,101.0,
2010-08,110.1,
2010-09,102.0,
2010-10,102.8,
2010-11,101.1,
2010-12,105.9,
2011-01,110.4,
2011-02,111.3,
2011-03,111.4,
2011-04,114.1,
2011-05,106.6,
2011-06,117.4,
2011-07,111.0,
2011-08,115.3,
2011-09,104.7,
2011-10,109.6,
2011-11,104.2,
2011-12,98.2,
2012-01,100.9,
2012-02,99.5,
2012-03,98.7,
2012-04,97.4,
2012-05,103.1,
2012-06,99.1,
2012-07,99.1,
2012-08,101.7,
2012-09,93.9,
2012-10,98.5,
2012-11,96.3,
2012-12,100.6,
2013-01,98.2,
2013-02,97.6,
2013-03,103.0,
2013-04,99.0,
2013-05,96.4,
2013-06,108.1,
2013-07,99.3,
2013-08,98.3,
2013-09,107.1,
2013-10,106.2,
2013-11,104.9,
2013-12,113.5,
2014-01,101.9,
2014-02,108.3,
2014-03,97.5,
2014-04,105.7,
2014-05,112.3,
2014-06,101.6,
2014-07,108.3,
2014-08,102.6,
2014-09,106.2,
2014-10,106.1,
2014-11,109.6,
2014-12,116.0,Provisional value
