"",BBK01.OECB04G,BBK01.OECB04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:43,
2002-01,12.311,
2002-04,12.195,
2002-07,11.957,
2002-10,11.825,
2003-01,11.543,
2003-04,11.362,
2003-07,11.349,
2003-10,11.137,
2004-01,11.042,
2004-04,11.000,
2004-07,10.855,
2004-10,10.775,
2005-01,13.576,
2005-04,13.482,
2005-07,13.483,
2005-10,13.739,
2006-01,13.721,
2006-04,13.785,
2006-07,13.855,
2006-10,13.902,
2007-01,14.133,
2007-04,14.315,
2007-07,14.412,
2007-10,14.403,
2008-01,14.454,
2008-04,14.624,
2008-07,14.635,
2008-10,14.642,
2009-01,14.609,
2009-04,18.917,
2009-07,18.561,
2009-10,18.500,
2010-01,18.418,
2010-04,18.384,
2010-07,18.282,
2010-10,17.779,
2011-01,17.632,
2011-04,17.190,
2011-07,17.104,
2011-10,16.981,
2012-01,16.786,
2012-04,16.762,
2012-07,16.656,
2012-10,16.567,
2013-01,16.629,
2013-04,16.967,
2013-07,17.237,
2013-10,16.970,
2014-01,17.289,
2014-04,17.413,
2014-07,17.525,
