"",BBK01.OEBL06L,BBK01.OEBL06L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:47,
2002-01,0.921,
2002-04,0.898,
2002-07,0.912,
2002-10,0.986,
2003-01,0.824,
2003-04,0.824,
2003-07,0.818,
2003-10,0.832,
2004-01,1.000,
2004-04,1.289,
2004-07,1.264,
2004-10,1.267,
2005-01,1.212,
2005-04,1.192,
2005-07,1.188,
2005-10,1.197,
2006-01,1.203,
2006-04,1.223,
2006-07,1.360,
2006-10,1.506,
2007-01,1.635,
2007-04,1.640,
2007-07,1.587,
2007-10,1.558,
2008-01,1.494,
2008-04,1.501,
2008-07,1.741,
2008-10,1.921,
2009-01,1.731,
2009-04,1.655,
2009-07,1.539,
2009-10,1.386,
2010-01,1.429,
2010-04,1.604,
2010-07,1.569,
2010-10,1.659,
2011-01,1.739,
2011-04,1.952,
2011-07,2.037,
2011-10,2.391,
2012-01,2.472,
2012-04,2.648,
2012-07,2.857,
2012-10,3.020,
2013-01,3.063,
2013-04,3.035,
2013-07,3.037,
2013-10,3.182,
2014-01,3.337,
2014-04,3.472,
2014-07,3.619,
