"",BBK01.OEAF21I,BBK01.OEAF21I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:38,
2002-01,1.469,
2002-04,1.557,
2002-07,1.617,
2002-10,1.506,
2003-01,1.511,
2003-04,1.903,
2003-07,1.363,
2003-10,1.339,
2004-01,1.501,
2004-04,1.531,
2004-07,1.523,
2004-10,1.523,
2005-01,1.698,
2005-04,1.701,
2005-07,1.773,
2005-10,1.792,
2006-01,1.766,
2006-04,1.785,
2006-07,1.775,
2006-10,1.748,
2007-01,1.707,
2007-04,1.735,
2007-07,1.739,
2007-10,1.704,
2008-01,1.682,
2008-04,1.889,
2008-07,1.904,
2008-10,2.042,
2009-01,2.056,
2009-04,2.063,
2009-07,2.145,
2009-10,2.264,
2010-01,2.244,
2010-04,2.292,
2010-07,2.209,
2010-10,2.155,
2011-01,2.163,
2011-04,2.105,
2011-07,2.086,
2011-10,1.728,
2012-01,1.702,
2012-04,1.643,
2012-07,1.470,
2012-10,1.465,
2013-01,1.404,
2013-04,1.389,
2013-07,1.392,
2013-10,1.369,
2014-01,1.366,
2014-04,1.216,
2014-07,1.208,
