"",BBFN1.M.DE.N.1.L.W03100.S1P.H1.T.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W03100.S1P.H1.T.NV00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis foreign affiliated enterprises arising from credit terms used / Total / Emerging economies and developing countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:12,
1995-01,1.756,
1995-02,1.663,
1995-03,1.805,
1995-04,1.805,
1995-05,1.902,
1995-06,1.881,
1995-07,1.932,
1995-08,2.058,
1995-09,2.139,
1995-10,2.137,
1995-11,2.150,
1995-12,2.239,
1996-01,2.279,
1996-02,2.137,
1996-03,2.061,
1996-04,2.055,
1996-05,2.120,
1996-06,2.170,
1996-07,2.092,
1996-08,2.159,
1996-09,2.286,
1996-10,2.266,
1996-11,2.210,
1996-12,2.384,
1997-01,2.306,
1997-02,2.283,
1997-03,2.346,
1997-04,2.361,
1997-05,2.485,
1997-06,2.578,
1997-07,2.527,
1997-08,2.473,
1997-09,2.807,
1997-10,2.837,
1997-11,2.970,
1997-12,2.931,
1998-01,2.944,
1998-02,2.823,
1998-03,2.934,
1998-04,2.983,
1998-05,3.064,
1998-06,3.035,
1998-07,3.280,
1998-08,3.142,
1998-09,3.348,
1998-10,3.383,
1998-11,3.395,
1998-12,3.390,
1999-01,3.128,
1999-02,3.203,
1999-03,3.556,
1999-04,3.496,
1999-05,3.689,
1999-06,3.776,
1999-07,3.676,
1999-08,3.746,
1999-09,3.950,
1999-10,4.202,
1999-11,4.298,
1999-12,4.521,
2000-01,4.485,
2000-02,4.649,
2000-03,4.821,
2000-04,4.589,
2000-05,5.139,
2000-06,5.173,
2000-07,5.164,
2000-08,5.130,
2000-09,5.892,
2000-10,5.850,
2000-11,6.329,
2000-12,5.891,
2001-01,5.481,
2001-02,5.503,
2001-03,6.005,
2001-04,5.479,
2001-05,5.717,
2001-06,5.871,
2001-07,5.752,
2001-08,5.539,
2001-09,5.946,
2001-10,5.874,
2001-11,5.989,
2001-12,5.924,
2002-01,5.426,
2002-02,5.486,
2002-03,5.572,
2002-04,5.759,
2002-05,5.664,
2002-06,5.748,
2002-07,5.597,
2002-08,5.785,
2002-09,6.007,
2002-10,5.965,
2002-11,6.269,
2002-12,6.187,
2003-01,5.827,
2003-02,5.532,
2003-03,5.815,
2003-04,5.732,
2003-05,5.787,
2003-06,6.050,
2003-07,5.915,
2003-08,6.207,
2003-09,5.911,
2003-10,5.977,
2003-11,6.288,
2003-12,6.049,
2004-01,5.728,
2004-02,6.073,
2004-03,6.471,
2004-04,6.301,
2004-05,4.206,
2004-06,4.098,
2004-07,4.061,
2004-08,3.787,
2004-09,4.000,
2004-10,3.944,
2004-11,5.124,
2004-12,5.228,
2005-01,5.194,
2005-02,5.136,
2005-03,5.518,
2005-04,5.517,
2005-05,5.466,
2005-06,5.713,
2005-07,5.792,
2005-08,5.725,
2005-09,5.982,
2005-10,5.957,
2005-11,6.459,
2005-12,6.381,
2006-01,6.028,
2006-02,5.832,
2006-03,5.991,
2006-04,6.128,
2006-05,6.157,
2006-06,6.691,
2006-07,6.270,
2006-08,6.618,
2006-09,7.223,
2006-10,7.240,
2006-11,7.638,
2006-12,8.069,
2007-01,7.285,
2007-02,6.984,
2007-03,7.297,
2007-04,7.302,
2007-05,7.112,
2007-06,7.529,
2007-07,7.143,
2007-08,7.547,
2007-09,7.687,
2007-10,7.072,
2007-11,7.349,
2007-12,7.541,
2008-01,6.884,
2008-02,6.425,
2008-03,6.912,
2008-04,6.283,
2008-05,6.222,
2008-06,6.513,
2008-07,6.656,
2008-08,6.424,
2008-09,6.632,
2008-10,6.517,
2008-11,6.583,
2008-12,6.262,
2009-01,5.707,
2009-02,5.556,
2009-03,5.777,
2009-04,5.207,
2009-05,5.400,
2009-06,5.071,
2009-07,5.114,
2009-08,5.357,
2009-09,5.555,
2009-10,5.666,
2009-11,5.824,
2009-12,6.002,
2010-01,5.992,
2010-02,6.174,
2010-03,6.457,
2010-04,6.397,
2010-05,7.398,
2010-06,7.386,
2010-07,7.223,
2010-08,7.113,
2010-09,7.495,
2010-10,7.429,
2010-11,7.080,
2010-12,7.671,
2011-01,7.252,
2011-02,7.236,
2011-03,7.304,
2011-04,7.303,
2011-05,7.291,
2011-06,7.508,
2011-07,7.736,
2011-08,7.695,
2011-09,8.191,
2011-10,7.934,
2011-11,7.928,
2011-12,8.405,
2012-01,8.073,
2012-02,8.017,
2012-03,7.996,
2012-04,7.916,
2012-05,7.996,
2012-06,8.480,
2012-07,8.276,
2012-08,8.245,
2012-09,8.884,
2012-10,8.471,
2012-11,9.165,
2012-12,9.450,
2013-01,8.743,
2013-02,8.574,
2013-03,8.732,
2013-04,8.342,
2013-05,8.079,
2013-06,8.219,
2013-07,8.228,
2013-08,8.699,
2013-09,8.700,
2013-10,8.394,
2013-11,8.749,
2013-12,8.769,
2014-01,8.107,
2014-02,8.316,
2014-03,8.746,
2014-04,8.479,
2014-05,8.491,
2014-06,9.225,
2014-07,8.953,
2014-08,9.097,
2014-09,9.318,
2014-10,9.218,
2014-11,9.459,
2014-12,9.726,
"","General: All countries that are not regarded as industrial countries. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
