"",BBK01.OEXB24U,BBK01.OEXB24U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:41:30,
2002-01,0.508,
2002-04,0.534,
2002-07,0.535,
2002-10,0.546,
2003-01,0.548,
2003-04,0.548,
2003-07,0.581,
2003-10,0.606,
2004-01,0.604,
2004-04,0.625,
2004-07,0.628,
2004-10,0.643,
2005-01,0.639,
2005-04,0.634,
2005-07,0.639,
2005-10,0.687,
2006-01,0.720,
2006-04,0.723,
2006-07,0.727,
2006-10,0.735,
2007-01,0.727,
2007-04,0.722,
2007-07,0.723,
2007-10,0.734,
2008-01,0.721,
2008-04,0.712,
2008-07,0.713,
2008-10,0.700,
2009-01,0.689,
2009-04,0.681,
2009-07,0.663,
2009-10,0.668,
2010-01,0.648,
2010-04,0.625,
2010-07,0.619,
2010-10,0.618,
2011-01,0.612,
2011-04,0.620,
2011-07,0.614,
2011-10,0.598,
2012-01,0.586,
2012-04,0.563,
2012-07,0.553,
2012-10,0.543,
2013-01,0.820,
2013-04,0.810,
2013-07,0.800,
2013-10,0.802,
2014-01,0.806,
2014-04,0.803,
2014-07,0.817,
