"",BBK01.OEAL01K,BBK01.OEAL01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:12:54,
2002-01,23.822,
2002-04,23.352,
2002-07,22.733,
2002-10,23.368,
2003-01,23.698,
2003-04,23.162,
2003-07,23.650,
2003-10,23.604,
2004-01,23.904,
2004-04,24.784,
2004-07,24.612,
2004-10,25.606,
2005-01,27.705,
2005-04,27.736,
2005-07,27.525,
2005-10,27.799,
2006-01,27.717,
2006-04,27.930,
2006-07,27.436,
2006-10,28.058,
2007-01,28.691,
2007-04,29.254,
2007-07,28.776,
2007-10,29.608,
2008-01,30.235,
2008-04,30.243,
2008-07,30.458,
2008-10,33.776,
2009-01,34.207,
2009-04,34.431,
2009-07,34.377,
2009-10,34.518,
2010-01,34.706,
2010-04,35.020,
2010-07,34.662,
2010-10,35.756,
2011-01,35.613,
2011-04,35.628,
2011-07,36.218,
2011-10,36.651,
2012-01,37.251,
2012-04,38.087,
2012-07,38.115,
2012-10,38.733,
2013-01,38.492,
2013-04,38.403,
2013-07,38.178,
2013-10,39.034,
2014-01,39.486,
2014-04,40.141,
2014-07,40.316,
