"",BBK01.OELB06H,BBK01.OELB06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:21,
2002-01,9.807,
2002-04,9.758,
2002-07,9.647,
2002-10,9.316,
2003-01,9.173,
2003-04,9.116,
2003-07,8.856,
2003-10,8.378,
2004-01,8.193,
2004-04,8.137,
2004-07,8.082,
2004-10,7.527,
2005-01,7.685,
2005-04,7.415,
2005-07,7.295,
2005-10,6.969,
2006-01,7.208,
2006-04,7.236,
2006-07,7.113,
2006-10,6.721,
2007-01,6.772,
2007-04,6.771,
2007-07,6.781,
2007-10,6.865,
2008-01,6.932,
2008-04,6.941,
2008-07,7.025,
2008-10,6.912,
2009-01,6.951,
2009-04,7.009,
2009-07,6.877,
2009-10,6.460,
2010-01,6.723,
2010-04,6.819,
2010-07,6.491,
2010-10,6.185,
2011-01,6.421,
2011-04,6.603,
2011-07,6.610,
2011-10,6.413,
2012-01,6.632,
2012-04,6.736,
2012-07,6.752,
2012-10,6.682,
2013-01,6.846,
2013-04,6.894,
2013-07,6.855,
2013-10,6.835,
2014-01,6.875,
2014-04,7.050,
2014-07,7.018,
