"",BBFN1.M.DE.N.1.A.W1.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:17,
1968-12,0.755,
1969-01,0.773,
1969-02,0.745,
1969-03,0.838,
1969-04,0.848,
1969-05,0.954,
1969-06,0.878,
1969-07,1.037,
1969-08,1.105,
1969-09,1.022,
1969-10,1.081,
1969-11,1.202,
1969-12,1.230,
1970-01,1.241,
1970-02,1.275,
1970-03,1.265,
1970-04,1.339,
1970-05,1.259,
1970-06,1.396,
1970-07,1.243,
1970-08,1.385,
1970-09,1.339,
1970-10,1.332,
1970-11,1.458,
1970-12,1.528,
1971-01,1.229,
1971-02,1.292,
1971-03,1.286,
1971-04,1.361,
1971-05,1.250,
1971-06,1.636,
1971-07,1.670,
1971-08,1.764,
1971-09,1.670,
1971-10,1.508,
1971-11,1.539,
1971-12,1.621,
1972-01,1.589,
1972-02,1.663,
1972-03,1.664,
1972-04,1.578,
1972-05,1.482,
1972-06,1.478,
1972-07,1.319,
1972-08,1.279,
1972-09,1.239,
1972-10,1.236,
1972-11,1.254,
1972-12,1.375,
1973-01,1.291,
1973-02,1.225,
1973-03,1.181,
1973-04,1.247,
1973-05,1.204,
1973-06,1.208,
1973-07,1.171,
1973-08,1.150,
1973-09,1.175,
1973-10,1.114,
1973-11,1.211,
1973-12,1.285,
1974-01,1.373,
1974-02,1.540,
1974-03,1.688,
1974-04,1.704,
1974-05,1.811,
1974-06,1.951,
1974-07,2.108,
1974-08,2.076,
1974-09,1.922,
1974-10,2.035,
1974-11,2.039,
1974-12,2.109,
1975-01,2.171,
1975-02,2.185,
1975-03,2.363,
1975-04,2.293,
1975-05,2.460,
1975-06,2.461,
1975-07,2.459,
1975-08,2.467,
1975-09,2.738,
1975-10,2.741,
1975-11,2.846,
1975-12,2.711,
1976-01,2.771,
1976-02,2.865,
1976-03,3.033,
1976-04,3.093,
1976-05,3.505,
1976-06,4.085,
1976-07,4.249,
1976-08,4.151,
1976-09,3.953,
1976-10,3.872,
1976-11,3.911,
1976-12,3.688,
1977-01,3.807,
1977-02,3.991,
1977-03,4.131,
1977-04,4.251,
1977-05,4.427,
1977-06,4.028,
1977-07,3.942,
1977-08,4.103,
1977-09,3.954,
1977-10,3.902,
1977-11,3.967,
1977-12,3.909,
1978-01,3.923,
1978-02,3.891,
1978-03,4.163,
1978-04,3.956,
1978-05,4.535,
1978-06,4.187,
1978-07,4.031,
1978-08,3.660,
1978-09,3.972,
1978-10,4.096,
1978-11,4.170,
1978-12,4.179,
1979-01,4.470,
1979-02,4.250,
1979-03,4.882,
1979-04,5.206,
1979-05,5.836,
1979-06,5.517,
1979-07,5.389,
1979-08,5.460,
1979-09,5.176,
1979-10,5.188,
1979-11,5.046,
1979-12,5.058,
1980-01,5.478,
1980-02,5.469,
1980-03,5.940,
1980-04,6.259,
1980-05,6.598,
1980-06,6.291,
1980-07,6.297,
1980-08,6.282,
1980-09,6.140,
1980-10,6.421,
1980-11,6.104,
1980-12,6.552,
1981-01,6.862,
1981-02,7.859,
1981-03,8.147,
1981-04,8.277,
1981-05,8.208,
1981-06,7.746,
1981-07,7.957,
1981-08,7.786,
1981-09,7.681,
1981-10,7.983,
1981-11,7.807,
1981-12,7.220,
1982-01,8.234,
1982-02,9.217,
1982-03,8.754,
1982-04,8.778,
1982-05,9.547,
1982-06,9.511,
1982-07,9.519,
1982-08,9.380,
1982-09,9.516,
1982-10,9.494,
1982-11,9.640,
1982-12,8.942,
1983-01,9.006,
1983-02,8.591,
1983-03,8.913,
1983-04,9.172,
1983-05,9.633,
1983-06,9.813,
1983-07,10.115,
1983-08,10.195,
1983-09,10.294,
1983-10,9.993,
1983-11,9.827,
1983-12,9.200,
1984-01,10.509,
1984-02,11.095,
1984-03,12.081,
1984-04,12.209,
1984-05,12.700,
1984-06,11.560,
1984-07,11.630,
1984-08,12.119,
1984-09,13.241,
1984-10,12.629,
1984-11,13.029,
1984-12,13.391,
1985-01,14.363,
1985-02,14.883,
1985-03,16.391,
1985-04,17.175,
1985-05,17.705,
1985-06,17.761,
1985-07,17.711,
1985-08,18.207,
1985-09,18.395,
1985-10,18.748,
1985-11,17.809,
1985-12,17.019,
1986-01,20.833,
1986-02,21.607,
1986-03,26.454,
1986-04,29.923,
1986-05,31.652,
1986-06,30.326,
1986-07,31.905,
1986-08,32.008,
1986-09,31.332,
1986-10,34.104,
1986-11,33.654,
1986-12,30.257,
1987-01,33.323,
1987-02,33.691,
1987-03,33.817,
1987-04,35.505,
1987-05,34.761,
1987-06,33.922,
1987-07,36.295,
1987-08,36.009,
1987-09,35.583,
1987-10,37.696,
1987-11,36.102,
1987-12,33.014,
1988-01,36.617,
1988-02,36.223,
1988-03,38.365,
1988-04,38.991,
1988-05,40.343,
1988-06,38.537,
1988-07,38.809,
1988-08,39.155,
1988-09,38.561,
1988-10,38.779,
1988-11,37.240,
1988-12,35.360,
1989-01,41.795,
1989-02,42.751,
1989-03,43.170,
1989-04,46.084,
1989-05,48.066,
1989-06,47.833,
1989-07,47.515,
1989-08,48.440,
1989-09,48.251,
1989-10,55.500,
1989-11,57.013,
1989-12,52.722,
1990-01,59.106,
1990-02,59.573,
1990-03,61.590,
1990-04,62.328,
1990-05,62.546,
1990-06,60.961,
1990-07,62.146,
1990-08,62.649,
1990-09,63.171,
1990-10,65.619,
1990-11,65.485,
1990-12,63.593,
1991-01,68.498,
1991-02,69.920,
1991-03,73.949,
1991-04,76.951,
1991-05,76.433,
1991-06,74.616,
1991-07,75.398,
1991-08,71.883,
1991-09,69.697,
1991-10,74.739,
1991-11,73.735,
1991-12,66.795,
1992-01,71.628,
1992-02,72.924,
1992-03,73.627,
1992-04,75.202,
1992-05,74.874,
1992-06,74.423,
1992-07,73.413,
1992-08,71.704,
1992-09,69.745,
1992-10,76.588,
1992-11,76.441,
1992-12,70.966,
1993-01,78.641,
1993-02,82.194,
1993-03,83.493,
1993-04,87.645,
1993-05,86.259,
1993-06,85.027,
1993-07,89.799,
1993-08,86.457,
1993-09,88.537,
1993-10,99.808,
1993-11,100.742,
1993-12,95.315,
1994-01,104.529,
1994-02,99.176,
1994-03,104.502,
1994-04,104.616,
1994-05,104.139,
