"",BBFB1.Q.N.DE.W1.S12T.S1.T.A.FA.O.F89.T._T._X.N,BBFB1.Q.N.DE.W1.S12T.S1.T.A.FA.O.F89.T._T._X.N_FLAGS
"","Assets (Net Acquisition of) / Financial account / Other accounts receivable/payable, excluding trade credits and advances / Rest of the World / Monetary financial institutions other than central bank / Other Investment",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:58:38,
1991-01,0.133,
1991-04,31.732,
1991-07,-2.660,
1991-10,-0.188,
1992-01,11.384,
1992-04,-0.056,
1992-07,0.394,
1992-10,-0.255,
1993-01,0.065,
1993-04,-0.167,
1993-07,0.882,
1993-10,-0.961,
1994-01,-0.086,
1994-04,-89.013,
1994-07,-0.705,
1994-10,-0.230,
1995-01,54.522,
1995-04,-85.383,
1995-07,82.728,
1995-10,-3.028,
1996-01,-5.596,
1996-04,31.306,
1996-07,-9.676,
1996-10,26.527,
1997-01,-30.160,
1997-04,-19.940,
1997-07,-29.311,
1997-10,160.247,
1998-01,59.225,
1998-04,37.858,
1998-07,-74.979,
1998-10,-27.552,
1999-01,-226.284,
1999-04,-11.855,
1999-07,-69.152,
1999-10,53.088,
2000-01,-77.734,
2000-04,41.232,
2000-07,281.656,
2000-10,-391.326,
2001-01,-99.555,
2001-04,-113.906,
2001-07,-65.132,
2001-10,-103.408,
2002-01,-152.741,
2002-04,-2.549,
2002-07,-40.063,
2002-10,104.925,
2003-01,-49.458,
2003-04,79.785,
2003-07,-17.957,
2003-10,-13.394,
2004-01,-32.918,
2004-04,66.646,
2004-07,102.399,
2004-10,119.308,
2005-01,-108.585,
2005-04,-39.392,
2005-07,-25.101,
2005-10,51.169,
2006-01,-89.278,
2006-04,7.469,
2006-07,-39.158,
2006-10,159.085,
2007-01,153.765,
2007-04,-4.152,
2007-07,34.483,
2007-10,-67.792,
2008-01,-184.209,
2008-04,84.820,
2008-07,-55.476,
2008-10,-55.947,
2009-01,-65.762,
2009-04,-105.034,
2009-07,12.766,
2009-10,3.487,
2010-01,-15.001,
2010-04,-10.354,
2010-07,-9.921,
2010-10,-5.322,
2011-01,-3.529,
2011-04,28.102,
2011-07,-23.547,
2011-10,17.036,
2012-01,-9.024,
2012-04,-65.112,
2012-07,13.579,
2012-10,19.721,
2013-01,-29.772,
2013-04,21.428,
2013-07,-1.543,
2013-10,27.459,
2014-01,35.127,
2014-04,28.959,
2014-07,29.886,
