"",BBK01.OEHB12R,BBK01.OEHB12R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:59,
2002-01,0.778,
2002-04,0.801,
2002-07,0.797,
2002-10,0.802,
2003-01,0.786,
2003-04,0.805,
2003-07,0.831,
2003-10,0.835,
2004-01,0.807,
2004-04,0.810,
2004-07,0.803,
2004-10,0.836,
2005-01,0.831,
2005-04,0.801,
2005-07,0.798,
2005-10,0.798,
2006-01,0.813,
2006-04,0.821,
2006-07,0.815,
2006-10,0.810,
2007-01,0.805,
2007-04,0.796,
2007-07,0.775,
2007-10,0.764,
2008-01,0.761,
2008-04,0.760,
2008-07,0.764,
2008-10,0.771,
2009-01,0.769,
2009-04,0.770,
2009-07,0.785,
2009-10,0.789,
2010-01,0.798,
2010-04,0.807,
2010-07,0.810,
2010-10,0.777,
2011-01,0.768,
2011-04,0.763,
2011-07,0.766,
2011-10,0.780,
2012-01,0.784,
2012-04,0.787,
2012-07,0.802,
2012-10,0.839,
2013-01,0.812,
2013-04,0.844,
2013-07,0.858,
2013-10,0.881,
2014-01,0.898,
2014-04,0.937,
2014-07,0.946,
