"",BBK01.OEAA08N,BBK01.OEAA08N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:03,
2002-01,9.743,
2002-04,9.673,
2002-07,9.570,
2002-10,9.520,
2003-01,9.371,
2003-04,9.285,
2003-07,9.230,
2003-10,9.131,
2004-01,8.945,
2004-04,8.827,
2004-07,8.709,
2004-10,7.260,
2005-01,7.835,
2005-04,7.692,
2005-07,7.516,
2005-10,7.414,
2006-01,7.156,
2006-04,6.976,
2006-07,6.873,
2006-10,6.643,
2007-01,6.474,
2007-04,6.359,
2007-07,6.170,
2007-10,6.030,
2008-01,5.831,
2008-04,5.715,
2008-07,5.616,
2008-10,5.501,
2009-01,5.371,
2009-04,5.276,
2009-07,5.210,
2009-10,5.448,
2010-01,4.980,
2010-04,4.884,
2010-07,4.774,
2010-10,4.652,
2011-01,4.572,
2011-04,4.476,
2011-07,4.344,
2011-10,4.252,
2012-01,4.144,
2012-04,4.083,
2012-07,3.962,
2012-10,4.114,
2013-01,3.977,
2013-04,3.980,
2013-07,3.916,
2013-10,3.841,
2014-01,3.756,
2014-04,3.665,
2014-07,3.564,
