"",BBFN1.M.DE.N.1.L.LT.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.LT.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
2013-08,0.056,
2013-09,0.060,
2013-10,0.060,
2013-11,0.061,
2013-12,0.057,
2014-01,0.055,
2014-02,0.053,
2014-03,0.048,
2014-04,0.049,
2014-05,0.048,
2014-06,0.051,
2014-07,0.049,
2014-08,.,No value available
2014-09,.,No value available
2014-10,.,No value available
2014-11,.,No value available
2014-12,.,No value available
