"",BBK01.OEAI07Q,BBK01.OEAI07Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:47,
2002-01,15.428,
2002-04,15.124,
2002-07,15.223,
2002-10,15.536,
2003-01,15.437,
2003-04,15.269,
2003-07,15.439,
2003-10,15.513,
2004-01,15.340,
2004-04,14.987,
2004-07,14.993,
2004-10,14.968,
2005-01,16.583,
2005-04,16.411,
2005-07,16.201,
2005-10,16.027,
2006-01,15.934,
2006-04,15.747,
2006-07,15.496,
2006-10,15.376,
2007-01,15.270,
2007-04,15.068,
2007-07,14.720,
2007-10,14.899,
2008-01,14.758,
2008-04,14.664,
2008-07,14.492,
2008-10,15.171,
2009-01,15.572,
2009-04,15.828,
2009-07,16.108,
2009-10,16.393,
2010-01,16.594,
2010-04,16.733,
2010-07,16.843,
2010-10,17.177,
2011-01,17.264,
2011-04,17.116,
2011-07,17.027,
2011-10,17.271,
2012-01,17.543,
2012-04,17.515,
2012-07,17.520,
2012-10,17.615,
2013-01,17.464,
2013-04,17.402,
2013-07,17.246,
2013-10,17.347,
2014-01,17.313,
2014-04,17.159,
2014-07,17.185,
