"",BBK01.CEHR20,BBK01.CEHR20_FLAGS
"",longer-term time deposits debtor: Domestic financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:16,
1991-01,4.8,
1991-04,5.3,
1991-07,10.5,
1991-10,18.4,
1992-01,15.6,
1992-04,17.0,
1992-07,14.0,
1992-10,16.2,
1993-01,15.5,
1993-04,13.2,
1993-07,22.7,
1993-10,29.4,
1994-01,27.1,
1994-04,22.9,
1994-07,22.7,
1994-10,24.0,
1995-01,22.1,
1995-04,25.5,
1995-07,25.6,
1995-10,28.9,
1996-01,30.4,
1996-04,22.3,
1996-07,24.5,
1996-10,29.6,
1997-01,33.8,
1997-04,19.5,
1997-07,23.9,
1997-10,28.4,
1998-01,32.7,
1998-04,27.0,
1998-07,31.8,
1998-10,20.9,
1999-01,46.2,
1999-04,26.8,
1999-07,42.1,
1999-10,34.4,
2000-01,32.0,
2000-04,14.4,
2000-07,15.4,
2000-10,6.2,
2001-01,17.7,
2001-04,17.8,
2001-07,7.1,
2001-10,-11.6,
2002-01,11.9,
2002-04,2.0,
2002-07,0.9,
2002-10,14.0,
2003-01,-0.4,
2003-04,1.7,
2003-07,-9.9,
2003-10,12.7,
2004-01,-8.3,
2004-04,15.6,
2004-07,9.1,
2004-10,4.9,
2005-01,11.9,
2005-04,8.3,
2005-07,-4.8,
2005-10,-10.8,
2006-01,-2.4,
2006-04,12.8,
2006-07,7.9,
2006-10,-6.6,
2007-01,-4.9,
2007-04,12.4,
2007-07,4.5,
2007-10,1.3,
2008-01,-3.8,
2008-04,15.5,
2008-07,12.4,
2008-10,33.6,
2009-01,7.6,
2009-04,6.9,
2009-07,-10.9,
2009-10,-18.2,
2010-01,0.2,
2010-04,-4.7,
2010-07,-4.4,
2010-10,16.3,
2011-01,-11.1,
2011-04,3.5,
2011-07,-5.4,
2011-10,29.8,
2012-01,18.8,
2012-04,-9.3,
2012-07,-14.6,
2012-10,-28.5,
2013-01,-63.4,
2013-04,-22.6,
2013-07,-28.6,
2013-10,-25.5,
2014-01,-17.7,
