"",BBK01.OEHM01P,BBK01.OEHM01P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:26,
2002-01,0.331,
2002-04,0.303,
2002-07,0.266,
2002-10,0.181,
2003-01,0.157,
2003-04,0.201,
2003-07,0.184,
2003-10,0.196,
2004-01,0.203,
2004-04,0.160,
2004-07,0.166,
2004-10,0.185,
2005-01,0.172,
2005-04,0.249,
2005-07,0.267,
2005-10,0.310,
2006-01,0.167,
2006-04,0.125,
2006-07,0.225,
2006-10,0.251,
2007-01,0.173,
2007-04,0.172,
2007-07,0.207,
2007-10,0.246,
2008-01,0.160,
2008-04,0.153,
2008-07,0.159,
2008-10,0.222,
2009-01,0.134,
2009-04,0.128,
2009-07,0.132,
2009-10,0.373,
2010-01,0.175,
2010-04,0.181,
2010-07,0.114,
2010-10,0.374,
2011-01,0.171,
2011-04,0.108,
2011-07,0.182,
2011-10,0.382,
2012-01,0.210,
2012-04,0.254,
2012-07,0.337,
2012-10,0.492,
2013-01,0.812,
2013-04,0.497,
2013-07,0.506,
2013-10,0.596,
2014-01,0.287,
2014-04,0.426,
2014-07,0.467,
