"",BBK01.OEHM05G,BBK01.OEHM05G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:50,
2002-01,0.077,
2002-04,0.065,
2002-07,0.063,
2002-10,0.043,
2003-01,0.037,
2003-04,0.036,
2003-07,0.036,
2003-10,0.053,
2004-01,0.053,
2004-04,0.053,
2004-07,0.057,
2004-10,0.050,
2005-01,0.047,
2005-04,0.049,
2005-07,0.049,
2005-10,0.046,
2006-01,0.045,
2006-04,0.044,
2006-07,0.044,
2006-10,0.041,
2007-01,0.041,
2007-04,0.051,
2007-07,0.051,
2007-10,0.051,
2008-01,0.051,
2008-04,0.050,
2008-07,0.050,
2008-10,0.049,
2009-01,0.053,
2009-04,0.055,
2009-07,0.052,
2009-10,0.054,
2010-01,0.081,
2010-04,0.102,
2010-07,0.111,
2010-10,0.121,
2011-01,0.131,
2011-04,0.132,
2011-07,0.106,
2011-10,0.120,
2012-01,0.120,
2012-04,0.118,
2012-07,0.106,
2012-10,0.097,
2013-01,0.100,
2013-04,0.095,
2013-07,0.090,
2013-10,0.080,
2014-01,0.079,
2014-04,0.083,
2014-07,0.072,
