"",BBK01.OEAH06H,BBK01.OEAH06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:45,
2002-01,1.377,
2002-04,1.555,
2002-07,1.573,
2002-10,1.583,
2003-01,1.496,
2003-04,1.494,
2003-07,1.738,
2003-10,1.883,
2004-01,1.923,
2004-04,1.666,
2004-07,1.507,
2004-10,1.399,
2005-01,1.472,
2005-04,1.430,
2005-07,1.463,
2005-10,1.426,
2006-01,1.555,
2006-04,1.583,
2006-07,2.040,
2006-10,2.676,
2007-01,3.011,
2007-04,3.680,
2007-07,4.125,
2007-10,6.183,
2008-01,6.894,
2008-04,8.124,
2008-07,8.564,
2008-10,7.362,
2009-01,6.727,
2009-04,5.938,
2009-07,5.984,
2009-10,6.360,
2010-01,5.829,
2010-04,5.479,
2010-07,5.270,
2010-10,6.175,
2011-01,6.272,
2011-04,6.446,
2011-07,8.089,
2011-10,7.165,
2012-01,6.664,
2012-04,5.933,
2012-07,5.852,
2012-10,4.925,
2013-01,4.465,
2013-04,4.437,
2013-07,4.130,
2013-10,5.207,
2014-01,5.085,
2014-04,5.392,
2014-07,6.639,
