"",BBK01.OEXI02T,BBK01.OEXI02T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:39,
2002-01,0.603,
2002-04,0.673,
2002-07,0.677,
2002-10,0.727,
2003-01,0.753,
2003-04,0.813,
2003-07,0.815,
2003-10,0.849,
2004-01,0.884,
2004-04,1.032,
2004-07,1.043,
2004-10,0.978,
2005-01,0.994,
2005-04,1.047,
2005-07,1.034,
2005-10,1.088,
2006-01,1.076,
2006-04,1.098,
2006-07,1.078,
2006-10,1.131,
2007-01,1.101,
2007-04,1.088,
2007-07,1.088,
2007-10,1.115,
2008-01,1.002,
2008-04,0.969,
2008-07,0.991,
2008-10,1.172,
2009-01,1.766,
2009-04,2.030,
2009-07,2.187,
2009-10,2.290,
2010-01,2.228,
2010-04,2.365,
2010-07,2.357,
2010-10,2.294,
2011-01,2.232,
2011-04,2.276,
2011-07,2.286,
2011-10,1.923,
2012-01,1.884,
2012-04,1.771,
2012-07,1.811,
2012-10,1.651,
2013-01,1.724,
2013-04,1.749,
2013-07,1.828,
2013-10,1.936,
2014-01,1.816,
2014-04,1.819,
2014-07,1.840,
