"",BBK01.CEFO0C,BBK01.CEFO0C_FLAGS
"",Other deposits                                                 debtor: Total           creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:21,
1999-01,140.9,
1999-04,143.4,
1999-07,141.7,
1999-10,151.3,
2000-01,146.0,
2000-04,158.4,
2000-07,192.6,
2000-10,194.5,
2001-01,160.0,
2001-04,158.3,
2001-07,155.3,
2001-10,153.8,
2002-01,146.6,
2002-04,146.7,
2002-07,139.4,
2002-10,137.5,
2003-01,136.1,
2003-04,139.7,
2003-07,134.9,
2003-10,135.6,
2004-01,132.1,
2004-04,134.4,
2004-07,131.9,
2004-10,130.7,
2005-01,121.6,
2005-04,124.5,
2005-07,124.7,
2005-10,132.2,
2006-01,124.8,
2006-04,148.6,
2006-07,157.9,
2006-10,158.5,
2007-01,148.7,
2007-04,182.9,
2007-07,156.9,
2007-10,169.2,
2008-01,163.0,
2008-04,181.8,
2008-07,170.9,
2008-10,164.3,
2009-01,145.0,
2009-04,163.5,
2009-07,132.6,
2009-10,132.0,
2010-01,133.5,
2010-04,132.9,
2010-07,139.5,
2010-10,173.4,
2011-01,168.9,
2011-04,186.3,
2011-07,190.3,
2011-10,200.7,
2012-01,202.1,
2012-04,236.3,
2012-07,233.9,
2012-10,210.5,
2013-01,202.0,
2013-04,202.3,
2013-07,198.8,
2013-10,207.5,
2014-01,207.9,
2014-04,212.1,
2014-07,219.6,
