"",BBK01.OUL315,BBK01.OUL315_FLAGS
"",Time deposits of social security funds / for more than one year up to and including two years / Credit cooperatives,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:26:41,
1999-01,0.045,
1999-02,0.046,
1999-03,0.045,
1999-04,0.041,
1999-05,0.027,
1999-06,0.034,
1999-07,0.033,
1999-08,0.030,
1999-09,0.030,
1999-10,0.030,
1999-11,0.035,
1999-12,0.046,
2000-01,0.046,
2000-02,0.051,
2000-03,0.058,
2000-04,0.056,
2000-05,0.056,
2000-06,0.056,
2000-07,0.060,
2000-08,0.060,
2000-09,0.061,
2000-10,0.055,
2000-11,0.056,
2000-12,0.065,
2001-01,0.065,
2001-02,0.058,
2001-03,0.058,
2001-04,0.059,
2001-05,0.059,
2001-06,0.051,
2001-07,0.051,
2001-08,0.051,
2001-09,0.053,
2001-10,0.053,
2001-11,0.052,
2001-12,0.050,
2002-01,0.047,
2002-02,0.047,
2002-03,0.047,
2002-04,0.048,
2002-05,0.048,
2002-06,0.025,
2002-07,0.025,
2002-08,0.025,
2002-09,0.025,
2002-10,0.026,
2002-11,0.024,
2002-12,0.022,
2003-01,0.022,
2003-02,0.022,
2003-03,0.020,
2003-04,0.023,
2003-05,0.020,
2003-06,0.020,
2003-07,0.020,
2003-08,0.018,
2003-09,0.017,
2003-10,0.017,
2003-11,0.020,
2003-12,0.021,
2004-01,0.009,
2004-02,0.011,
2004-03,0.011,
2004-04,0.013,
2004-05,0.018,
2004-06,0.023,
2004-07,0.033,
2004-08,0.039,
2004-09,0.033,
2004-10,0.033,
2004-11,0.033,
2004-12,0.032,
2005-01,0.032,
2005-02,0.030,
2005-03,0.030,
2005-04,0.030,
2005-05,0.023,
2005-06,0.018,
2005-07,0.008,
2005-08,0.008,
2005-09,0.010,
2005-10,0.010,
2005-11,0.007,
2005-12,0.007,
2006-01,0.012,
2006-02,0.012,
2006-03,0.012,
2006-04,0.013,
2006-05,0.013,
2006-06,0.013,
2006-07,0.013,
2006-08,0.013,
2006-09,0.014,
2006-10,0.012,
2006-11,0.012,
2006-12,0.013,
2007-01,0.003,
2007-02,0.003,
2007-03,0.003,
2007-04,0.006,
2007-05,0.006,
2007-06,0.011,
2007-07,0.010,
2007-08,0.010,
2007-09,0.009,
2007-10,0.009,
2007-11,0.009,
2007-12,0.008,
2008-01,0.008,
2008-02,0.008,
2008-03,0.008,
2008-04,0.005,
2008-05,0.007,
2008-06,0.002,
2008-07,-,Nothing exists
2008-08,-,Nothing exists
2008-09,-,Nothing exists
2008-10,-,Nothing exists
2008-11,-,Nothing exists
2008-12,-,Nothing exists
2009-01,-,Nothing exists
2009-02,0.002,
2009-03,0.002,
2009-04,0.002,
2009-05,0.003,
2009-06,0.006,
2009-07,0.006,
2009-08,0.006,
2009-09,0.006,
2009-10,0.006,
2009-11,0.008,
2009-12,0.008,
2010-01,0.008,
2010-02,0.006,
2010-03,0.006,
2010-04,0.006,
2010-05,0.005,
2010-06,0.005,
2010-07,0.005,
2010-08,0.005,
2010-09,0.005,
2010-10,0.005,
2010-11,0.005,
2010-12,0.005,
2011-01,0.005,
2011-02,0.005,
2011-03,0.010,
2011-04,0.011,
2011-05,0.011,
2011-06,0.011,
2011-07,0.024,
2011-08,0.029,
2011-09,0.029,
2011-10,0.030,
2011-11,0.030,
2011-12,0.030,
2012-01,0.030,
2012-02,0.030,
2012-03,0.035,
2012-04,0.039,
2012-05,0.041,
2012-06,0.040,
2012-07,0.036,
2012-08,0.039,
2012-09,0.039,
2012-10,0.038,
2012-11,0.038,
2012-12,0.050,
2013-01,0.060,
2013-02,0.057,
2013-03,0.050,
2013-04,0.045,
2013-05,0.045,
2013-06,0.047,
2013-07,0.050,
2013-08,0.051,
2013-09,0.061,
2013-10,0.061,
2013-11,0.068,
2013-12,0.060,
2014-01,0.060,
2014-02,0.090,
2014-03,0.101,
2014-04,0.107,
2014-05,0.112,
2014-06,0.117,
2014-07,0.116,
2014-08,0.135,
2014-09,0.163,
2014-10,0.178,
2014-11,0.191,
2014-12,0.185,Provisional value
