"",BBK01.OEAH36Q,BBK01.OEAH36Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:10,
2002-01,0.554,
2002-04,0.583,
2002-07,0.570,
2002-10,0.552,
2003-01,0.538,
2003-04,0.419,
2003-07,0.537,
2003-10,0.515,
2004-01,0.551,
2004-04,0.502,
2004-07,0.499,
2004-10,0.500,
2005-01,0.483,
2005-04,0.478,
2005-07,0.440,
2005-10,0.425,
2006-01,0.419,
2006-04,0.423,
2006-07,0.406,
2006-10,0.366,
2007-01,0.386,
2007-04,0.384,
2007-07,0.374,
2007-10,0.358,
2008-01,0.349,
2008-04,0.342,
2008-07,0.348,
2008-10,0.346,
2009-01,0.345,
2009-04,0.343,
2009-07,0.337,
2009-10,0.349,
2010-01,0.356,
2010-04,0.341,
2010-07,0.722,
2010-10,0.806,
2011-01,0.594,
2011-04,0.628,
2011-07,0.573,
2011-10,0.558,
2012-01,0.544,
2012-04,0.535,
2012-07,0.520,
2012-10,0.485,
2013-01,0.502,
2013-04,0.480,
2013-07,0.461,
2013-10,0.428,
2014-01,0.391,
2014-04,0.381,
2014-07,0.387,
