"",BBK01.CEH702,BBK01.CEH702_FLAGS
"",Other claims debtor: All sectors                    creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:13,
1991-01,-1.8,
1991-04,-1.4,
1991-07,4.3,
1991-10,5.4,
1992-01,2.9,
1992-04,-0.3,
1992-07,0.9,
1992-10,5.6,
1993-01,-2.9,
1993-04,0.1,
1993-07,1.4,
1993-10,5.6,
1994-01,-2.4,
1994-04,0.9,
1994-07,0.7,
1994-10,8.6,
1995-01,4.1,
1995-04,1.4,
1995-07,4.0,
1995-10,7.6,
1996-01,-0.6,
1996-04,0.8,
1996-07,0.9,
1996-10,0.6,
1997-01,2.5,
1997-04,2.4,
1997-07,3.1,
1997-10,5.8,
1998-01,3.0,
1998-04,8.8,
1998-07,11.8,
1998-10,-2.9,
1999-01,10.4,
1999-04,4.7,
1999-07,0.1,
1999-10,12.3,
2000-01,8.3,
2000-04,5.2,
2000-07,18.5,
2000-10,3.4,
2001-01,15.2,
2001-04,-0.6,
2001-07,-12.0,
2001-10,-3.8,
2002-01,10.7,
2002-04,-2.8,
2002-07,-1.6,
2002-10,6.7,
2003-01,-0.1,
2003-04,-18.8,
2003-07,3.1,
2003-10,13.9,
2004-01,-4.8,
2004-04,-1.7,
2004-07,2.5,
2004-10,-0.2,
2005-01,-13.0,
2005-04,4.9,
2005-07,6.8,
2005-10,14.9,
2006-01,-5.8,
2006-04,7.6,
2006-07,7.8,
2006-10,11.6,
2007-01,-4.6,
2007-04,10.8,
2007-07,-0.8,
2007-10,-17.5,
2008-01,-3.9,
2008-04,5.8,
2008-07,9.0,
2008-10,30.4,
2009-01,29.3,
2009-04,-77.4,
2009-07,11.5,
2009-10,-11.0,
2010-01,-3.1,
2010-04,26.0,
2010-07,-15.9,
2010-10,-11.5,
2011-01,-30.8,
2011-04,3.9,
2011-07,-12.2,
2011-10,15.9,
2012-01,8.1,
2012-04,16.2,
2012-07,-10.9,
2012-10,0.7,
2013-01,7.5,
2013-04,-17.5,
2013-07,-21.4,
2013-10,8.6,
2014-01,-9.6,
