"",BBK01.PQD359,BBK01.PQD359_FLAGS
"",Lending to domestic self-employed persons / Short-term / Regional banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:24:03,
1968-10,1.146,
1969-01,1.159,
1969-04,1.231,
1969-07,1.293,
1969-10,1.439,
1970-01,1.510,
1970-04,1.608,
1970-07,1.660,
1970-10,1.735,
1971-01,1.776,
1971-04,1.864,
1971-07,1.971,
1971-10,2.071,
1972-01,2.154,
1972-04,2.312,
1972-07,2.412,
1972-10,2.596,
1973-01,2.608,
1973-04,2.730,
1973-07,2.754,
1973-10,2.855,
1974-01,2.843,
1974-04,2.942,
1974-07,2.881,
1974-10,2.899,
1975-01,2.829,
1975-04,2.731,
1975-07,2.677,
1975-10,2.706,
1976-01,2.599,
1976-04,2.691,
1976-07,2.778,
1976-10,2.789,
1977-01,2.766,
1977-04,2.836,
1977-07,2.880,
1977-10,2.985,
1978-01,2.828,
1978-04,2.922,
1978-07,3.005,
1978-10,3.042,
1979-01,2.935,
1979-04,3.164,
1979-07,3.202,
1979-10,3.436,
1980-01,3.267,
1980-04,3.383,
1980-07,3.377,
1980-10,3.712,
1981-01,3.747,
1981-04,3.583,
1981-07,3.613,
1981-10,3.956,
1982-01,3.954,
1982-04,4.041,
1982-07,4.097,
1982-10,4.557,
1983-01,4.577,
1983-04,4.642,
1983-07,4.726,
1983-10,5.050,
1984-01,5.076,
1984-04,5.315,
1984-07,5.361,
1984-10,5.623,
1985-01,5.507,
1985-04,5.495,
1985-07,5.529,
1985-10,5.727,
1986-01,5.645,
1986-04,5.747,
1986-07,5.417,
1986-10,5.625,
1987-01,5.364,
1987-04,5.417,
1987-07,5.119,
1987-10,5.118,
1988-01,4.887,
1988-04,4.828,
1988-07,4.752,
1988-10,4.835,
1989-01,4.755,
1989-04,5.015,
1989-07,5.006,
1989-10,5.405,
1990-01,5.262,
1990-04,5.403,
1990-07,5.719,
1990-10,6.295,
1991-01,5.527,
1991-04,5.812,
1991-07,5.896,
1991-10,6.799,
1992-01,6.225,
1992-04,6.336,
1992-07,6.301,
1992-10,7.117,
1993-01,6.704,
1993-04,6.701,
1993-07,6.563,
1993-10,7.089,
1994-01,6.432,
1994-04,6.287,
1994-07,6.430,
1994-10,7.173,
1995-01,6.683,
1995-04,6.727,
1995-07,6.527,
1995-10,7.055,
1996-01,6.300,
1996-04,6.210,
1996-07,6.293,
1996-10,7.279,
1997-01,6.411,
1997-04,6.440,
1997-07,6.251,
1997-10,6.913,
1998-01,6.406,
1998-04,6.508,
1998-07,6.563,
1998-10,6.791,
1999-01,4.748,
1999-04,5.672,
1999-07,6.748,
1999-10,6.779,
2000-01,6.840,
2000-04,6.900,
2000-07,6.947,
2000-10,7.060,
2001-01,6.686,
2001-04,6.777,
2001-07,6.676,
2001-10,6.940,
2002-01,6.760,
2002-04,6.705,
2002-07,6.563,
2002-10,6.857,
2003-01,6.452,
2003-04,6.406,
2003-07,6.229,
2003-10,6.575,
2004-01,6.081,
2004-04,5.961,
2004-07,5.967,
2004-10,4.856,
2005-01,4.825,
2005-04,4.652,
2005-07,4.014,
2005-10,3.832,
2006-01,3.883,
2006-04,3.806,
2006-07,3.642,
2006-10,3.629,
2007-01,3.941,
2007-04,3.902,
2007-07,3.842,
2007-10,4.172,
2008-01,3.967,
2008-04,3.919,
2008-07,4.074,
2008-10,4.240,
2009-01,4.391,
2009-04,4.335,
2009-07,4.198,
2009-10,4.272,
2010-01,4.305,
2010-04,4.271,
2010-07,4.260,
2010-10,4.236,
2011-01,4.154,
2011-04,4.109,
2011-07,3.977,
2011-10,3.865,
2012-01,3.873,
2012-04,3.834,
2012-07,3.688,
2012-10,3.747,
2013-01,3.732,
2013-04,3.787,
2013-07,3.761,
2013-10,3.880,
2014-01,3.804,
2014-04,3.740,
2014-07,3.688,
2014-10,3.708,
