"",BBK01.OEAC54U,BBK01.OEAC54U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:30,
2002-01,5.348,
2002-04,5.443,
2002-07,5.468,
2002-10,5.550,
2003-01,5.516,
2003-04,5.537,
2003-07,5.614,
2003-10,5.647,
2004-01,5.611,
2004-04,5.199,
2004-07,5.232,
2004-10,5.259,
2005-01,5.232,
2005-04,5.149,
2005-07,5.153,
2005-10,5.172,
2006-01,5.147,
2006-04,5.187,
2006-07,5.250,
2006-10,5.292,
2007-01,5.353,
2007-04,5.432,
2007-07,5.475,
2007-10,5.656,
2008-01,5.608,
2008-04,5.605,
2008-07,5.648,
2008-10,5.599,
2009-01,5.526,
2009-04,5.782,
2009-07,5.775,
2009-10,5.984,
2010-01,5.809,
2010-04,5.943,
2010-07,6.009,
2010-10,5.988,
2011-01,6.037,
2011-04,6.122,
2011-07,6.109,
2011-10,6.112,
2012-01,6.084,
2012-04,6.419,
2012-07,6.507,
2012-10,6.511,
2013-01,6.531,
2013-04,6.555,
2013-07,6.668,
2013-10,6.737,
2014-01,6.668,
2014-04,6.789,
2014-07,6.610,
