"",BBFN1.M.DE.N.1.L.W03100.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W03100.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Total / Emerging economies and developing countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:04,
1995-01,0.799,
1995-02,0.812,
1995-03,0.824,
1995-04,0.854,
1995-05,0.887,
1995-06,0.864,
1995-07,0.842,
1995-08,0.885,
1995-09,0.870,
1995-10,0.890,
1995-11,0.899,
1995-12,0.873,
1996-01,0.909,
1996-02,0.971,
1996-03,1.066,
1996-04,1.104,
1996-05,0.920,
1996-06,0.905,
1996-07,1.019,
1996-08,0.988,
1996-09,1.074,
1996-10,1.030,
1996-11,1.040,
1996-12,1.219,
1997-01,1.264,
1997-02,1.277,
1997-03,1.155,
1997-04,1.178,
1997-05,1.291,
1997-06,1.319,
1997-07,1.312,
1997-08,1.334,
1997-09,1.334,
1997-10,1.328,
1997-11,1.280,
1997-12,1.390,
1998-01,1.361,
1998-02,1.410,
1998-03,1.399,
1998-04,1.496,
1998-05,1.474,
1998-06,1.601,
1998-07,1.607,
1998-08,1.585,
1998-09,1.540,
1998-10,1.622,
1998-11,1.594,
1998-12,1.547,
1999-01,1.549,
1999-02,1.410,
1999-03,1.409,
1999-04,1.431,
1999-05,1.443,
1999-06,1.409,
1999-07,1.407,
1999-08,1.418,
1999-09,1.413,
1999-10,4.346,
1999-11,4.886,
1999-12,1.471,
2000-01,1.507,
2000-02,1.554,
2000-03,1.554,
2000-04,1.575,
2000-05,1.606,
2000-06,1.583,
2000-07,1.592,
2000-08,1.750,
2000-09,1.625,
2000-10,1.621,
2000-11,1.511,
2000-12,1.672,
2001-01,1.568,
2001-02,1.422,
2001-03,1.340,
2001-04,1.389,
2001-05,1.416,
2001-06,1.525,
2001-07,1.421,
2001-08,1.438,
2001-09,1.383,
2001-10,1.389,
2001-11,1.353,
2001-12,1.436,
2002-01,1.405,
2002-02,1.409,
2002-03,1.356,
2002-04,1.255,
2002-05,1.231,
2002-06,1.237,
2002-07,1.236,
2002-08,1.202,
2002-09,1.171,
2002-10,1.134,
2002-11,1.045,
2002-12,1.102,
2003-01,1.114,
2003-02,1.083,
2003-03,1.092,
2003-04,1.086,
2003-05,1.091,
2003-06,1.048,
2003-07,1.051,
2003-08,1.066,
2003-09,1.063,
2003-10,1.051,
2003-11,0.961,
2003-12,0.912,
2004-01,0.830,
2004-02,0.807,
2004-03,0.823,
2004-04,0.730,
2004-05,0.659,
2004-06,0.644,
2004-07,0.628,
2004-08,0.621,
2004-09,0.591,
2004-10,0.490,
2004-11,0.448,
2004-12,0.458,
2005-01,0.476,
2005-02,0.450,
2005-03,0.409,
2005-04,0.413,
2005-05,0.419,
2005-06,0.399,
2005-07,0.322,
2005-08,0.339,
2005-09,0.317,
2005-10,0.302,
2005-11,0.302,
2005-12,0.291,
2006-01,0.184,
2006-02,0.210,
2006-03,0.156,
2006-04,0.153,
2006-05,0.154,
2006-06,0.140,
2006-07,0.140,
2006-08,0.131,
2006-09,0.184,
2006-10,0.188,
2006-11,0.136,
2006-12,0.138,
2007-01,0.146,
2007-02,0.148,
2007-03,0.158,
2007-04,0.151,
2007-05,0.120,
2007-06,0.124,
2007-07,0.172,
2007-08,0.169,
2007-09,0.167,
2007-10,0.135,
2007-11,0.146,
2007-12,0.188,
2008-01,0.190,
2008-02,0.225,
2008-03,0.204,
2008-04,0.198,
2008-05,0.214,
2008-06,0.369,
2008-07,0.352,
2008-08,0.398,
2008-09,0.415,
2008-10,0.436,
2008-11,0.434,
2008-12,0.398,
2009-01,0.387,
2009-02,0.399,
2009-03,0.380,
2009-04,0.377,
2009-05,0.391,
2009-06,0.368,
2009-07,0.352,
2009-08,0.359,
2009-09,0.338,
2009-10,0.327,
2009-11,0.346,
2009-12,0.342,
2010-01,0.357,
2010-02,0.367,
2010-03,0.373,
2010-04,0.368,
2010-05,0.378,
2010-06,0.441,
2010-07,0.391,
2010-08,0.404,
2010-09,0.410,
2010-10,0.384,
2010-11,0.397,
2010-12,0.384,
2011-01,0.384,
2011-02,0.365,
2011-03,0.373,
2011-04,0.352,
2011-05,0.348,
2011-06,0.340,
2011-07,0.329,
2011-08,0.338,
2011-09,0.350,
2011-10,0.360,
2011-11,0.365,
2011-12,0.379,
2012-01,0.387,
2012-02,0.389,
2012-03,0.440,
2012-04,0.513,
2012-05,0.577,
2012-06,0.563,
2012-07,0.661,
2012-08,0.558,
2012-09,0.571,
2012-10,0.569,
2012-11,0.517,
2012-12,0.962,
2013-01,0.497,
2013-02,0.537,
2013-03,0.420,
2013-04,0.464,
2013-05,0.523,
2013-06,0.523,
2013-07,0.490,
2013-08,0.421,
2013-09,0.431,
2013-10,0.448,
2013-11,0.629,
2013-12,0.210,
2014-01,0.206,
2014-02,0.228,
2014-03,0.227,
2014-04,0.236,
2014-05,0.233,
2014-06,0.226,
2014-07,0.122,
2014-08,0.114,
2014-09,0.168,
2014-10,0.144,
2014-11,0.126,
2014-12,0.128,
"","General: All countries that are not regarded as industrial countries. Up to December 2010 including Niederl. Antillen; from January 2011 including Bonaire,St.Eustatius, Saba; Curacao; St.Martin (Dutch part)",
