"",BBFB1.Q.N.DE.DK.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.DK.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Denmark,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:17,
1991-01,18.021,
1991-04,119.848,
1991-07,63.666,
1991-10,23.239,
1992-01,10.545,
1992-04,-0.132,
1992-07,16.309,
1992-10,9.135,
1993-01,-27.916,
1993-04,10.226,
1993-07,1.482,
1993-10,-59.867,
1994-01,-38.735,
1994-04,-30.775,
1994-07,-4.481,
1994-10,47.587,
1995-01,32.636,
1995-04,-10.957,
1995-07,-4.618,
1995-10,12.360,
1996-01,98.856,
1996-04,6.200,
1996-07,51.013,
1996-10,6.960,
1997-01,-231.680,
1997-04,-34.297,
1997-07,181.918,
1997-10,-214.848,
1998-01,50.825,
1998-04,-89.165,
1998-07,304.829,
1998-10,56.760,
1999-01,115.955,
1999-04,-94.611,
1999-07,133.397,
1999-10,-268.722,
2000-01,-95.283,
2000-04,-28.693,
2000-07,23.780,
2000-10,-8.555,
2001-01,-147.032,
2001-04,-171.248,
2001-07,-147.796,
2001-10,-132.839,
2002-01,74.598,
2002-04,-22.847,
2002-07,53.248,
2002-10,547.468,
2003-01,71.887,
2003-04,129.567,
2003-07,189.269,
2003-10,536.725,
2004-01,295.032,
2004-04,273.739,
2004-07,156.832,
2004-10,625.732,
2005-01,-160.912,
2005-04,14.110,
2005-07,229.820,
2005-10,447.090,
2006-01,-243.246,
2006-04,-85.895,
2006-07,31.878,
2006-10,-499.806,
2007-01,-118.103,
2007-04,33.437,
2007-07,-211.978,
2007-10,26.937,
2008-01,-222.527,
2008-04,268.213,
2008-07,678.940,
2008-10,155.879,
2009-01,-175.960,
2009-04,227.949,
2009-07,397.931,
2009-10,613.503,
2010-01,-460.417,
2010-04,979.087,
2010-07,538.037,
2010-10,765.328,
2011-01,-1069.720,
2011-04,388.174,
2011-07,226.272,
2011-10,2293.773,
2012-01,-2854.591,
2012-04,112.476,
2012-07,478.367,
2012-10,-892.990,
2013-01,461.588,
2013-04,-47.355,
2013-07,353.347,
2013-10,80.517,
2014-01,164.887,Provisional value
2014-04,-366.392,Provisional value
2014-07,-597.311,Provisional value
2014-10,92.430,Provisional value
