"",BBK01.CELZN0,BBK01.CELZN0_FLAGS
"",Other accounts payable excluding trade credits and advances   debtor: Rest of the world                   creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:51:18,
1999-01,-6.8,
1999-04,-1.1,
1999-07,2.5,
1999-10,2.3,
2000-01,-8.2,
2000-04,7.3,
2000-07,0.5,
2000-10,5.8,
2001-01,0.2,
2001-04,1.1,
2001-07,-2.1,
2001-10,-0.3,
2002-01,-5.1,
2002-04,2.9,
2002-07,-3.9,
2002-10,1.1,
2003-01,-1.5,
2003-04,3.1,
2003-07,-0.3,
2003-10,2.1,
2004-01,0.3,
2004-04,-1.4,
2004-07,-0.1,
2004-10,3.0,
2005-01,-1.2,
2005-04,0.8,
2005-07,-0.7,
2005-10,5.8,
2006-01,7.6,
2006-04,2.9,
2006-07,1.7,
2006-10,0.9,
2007-01,1.5,
2007-04,-0.4,
2007-07,0.5,
2007-10,4.3,
2008-01,4.6,
2008-04,-2.0,
2008-07,0.5,
2008-10,3.3,
2009-01,5.1,
2009-04,0.2,
2009-07,2.6,
2009-10,3.0,
2010-01,0.0,
2010-04,-0.3,
2010-07,3.3,
2010-10,0.1,
2011-01,-1.4,
2011-04,1.3,
2011-07,0.9,
2011-10,0.9,
2012-01,2.1,
2012-04,-1.8,
2012-07,-2.1,
2012-10,3.2,
2013-01,6.0,
2013-04,9.5,
2013-07,15.3,
2013-10,11.3,
2014-01,-27.4,
2014-04,-2.2,
2014-07,3.5,
