"",BBFN1.M.DE.N.1.L.CN.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.CN.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"","Liabilities of enterprises vis-à-vis non-residents arising from credit terms used / Total / China, People's Republic of",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:11,
1994-07,0.072,
1994-08,0.126,
1994-09,0.143,
1994-10,0.156,
1994-11,0.162,
1994-12,0.181,
1995-01,0.178,
1995-02,0.205,
1995-03,0.205,
1995-04,0.209,
1995-05,0.214,
1995-06,0.224,
1995-07,0.218,
1995-08,0.227,
1995-09,0.238,
1995-10,0.233,
1995-11,0.237,
1995-12,0.237,
1996-01,0.279,
1996-02,0.254,
1996-03,0.276,
1996-04,0.281,
1996-05,0.164,
1996-06,0.159,
1996-07,0.155,
1996-08,0.142,
1996-09,0.141,
1996-10,0.150,
1996-11,0.140,
1996-12,0.157,
1997-01,0.160,
1997-02,0.153,
1997-03,0.152,
1997-04,0.162,
1997-05,0.155,
1997-06,0.170,
1997-07,0.178,
1997-08,0.199,
1997-09,0.217,
1997-10,0.203,
1997-11,0.218,
1997-12,0.222,
1998-01,0.215,
1998-02,0.222,
1998-03,0.245,
1998-04,0.252,
1998-05,0.242,
1998-06,0.254,
1998-07,0.267,
1998-08,0.268,
1998-09,0.281,
1998-10,0.266,
1998-11,0.269,
1998-12,0.283,
1999-01,0.296,
1999-02,0.278,
1999-03,0.289,
1999-04,0.269,
1999-05,0.350,
1999-06,0.361,
1999-07,0.378,
1999-08,0.394,
1999-09,0.383,
1999-10,0.409,
1999-11,0.403,
1999-12,0.423,
2000-01,0.422,
2000-02,0.413,
2000-03,0.394,
2000-04,0.448,
2000-05,0.453,
2000-06,0.486,
2000-07,0.476,
2000-08,0.495,
2000-09,0.472,
2000-10,0.462,
2000-11,0.526,
2000-12,0.521,
2001-01,0.460,
2001-02,0.472,
2001-03,0.478,
2001-04,0.470,
2001-05,0.471,
2001-06,0.567,
2001-07,0.585,
2001-08,0.639,
2001-09,0.829,
2001-10,0.793,
2001-11,0.776,
2001-12,0.780,
2002-01,0.634,
2002-02,0.648,
2002-03,0.555,
2002-04,0.518,
2002-05,0.541,
2002-06,0.550,
2002-07,0.539,
2002-08,0.538,
2002-09,0.598,
2002-10,0.639,
2002-11,0.610,
2002-12,0.686,
2003-01,0.602,
2003-02,0.528,
2003-03,0.544,
2003-04,0.551,
2003-05,0.538,
2003-06,0.535,
2003-07,0.546,
2003-08,0.567,
2003-09,0.621,
2003-10,0.583,
2003-11,0.623,
2003-12,0.733,
2004-01,0.587,
2004-02,0.565,
2004-03,0.734,
2004-04,0.680,
2004-05,0.727,
2004-06,0.736,
2004-07,0.718,
2004-08,0.625,
2004-09,0.708,
2004-10,0.807,
2004-11,0.859,
2004-12,0.881,
2005-01,0.721,
2005-02,0.812,
2005-03,0.879,
2005-04,0.885,
2005-05,0.889,
2005-06,0.896,
2005-07,0.952,
2005-08,0.986,
2005-09,0.982,
2005-10,1.049,
2005-11,1.141,
2005-12,1.176,
2006-01,1.159,
2006-02,1.152,
2006-03,1.210,
2006-04,1.151,
2006-05,1.106,
2006-06,1.097,
2006-07,1.180,
2006-08,1.272,
2006-09,1.362,
2006-10,1.374,
2006-11,1.479,
2006-12,1.595,
2007-01,1.513,
2007-02,1.433,
2007-03,1.501,
2007-04,1.605,
2007-05,1.464,
2007-06,1.592,
2007-07,1.539,
2007-08,1.517,
2007-09,1.686,
2007-10,1.573,
2007-11,1.513,
2007-12,1.821,
2008-01,1.418,
2008-02,1.364,
2008-03,1.507,
2008-04,1.363,
2008-05,1.345,
2008-06,1.434,
2008-07,1.430,
2008-08,1.377,
2008-09,1.507,
2008-10,1.547,
2008-11,1.565,
2008-12,1.676,
2009-01,1.515,
2009-02,1.342,
2009-03,1.357,
2009-04,1.276,
2009-05,1.269,
2009-06,1.396,
2009-07,1.311,
2009-08,1.324,
2009-09,1.411,
2009-10,1.370,
2009-11,1.388,
2009-12,1.511,
2010-01,1.429,
2010-02,1.363,
2010-03,1.438,
2010-04,1.484,
2010-05,1.580,
2010-06,1.635,
2010-07,1.621,
2010-08,1.674,
2010-09,1.776,
2010-10,1.735,
2010-11,1.747,
2010-12,1.940,
2011-01,1.862,
2011-02,1.783,
2011-03,1.825,
2011-04,1.871,
2011-05,1.807,
2011-06,1.831,
2011-07,2.016,
2011-08,1.932,
2011-09,2.004,
2011-10,1.955,
2011-11,2.015,
2011-12,2.304,
2012-01,1.903,
2012-02,1.944,
2012-03,1.991,
2012-04,2.058,
2012-05,2.169,
2012-06,2.267,
2012-07,2.274,
2012-08,2.240,
2012-09,2.360,
2012-10,2.106,
2012-11,2.214,
2012-12,2.380,
2013-01,2.119,
2013-02,2.072,
2013-03,2.200,
2013-04,2.266,
2013-05,2.362,
2013-06,2.498,
2013-07,2.472,
2013-08,2.609,
2013-09,2.633,
2013-10,2.509,
2013-11,2.448,
2013-12,2.709,
2014-01,2.458,
2014-02,2.386,
2014-03,2.436,
2014-04,2.572,
2014-05,2.655,
2014-06,2.804,
2014-07,2.842,
2014-08,3.118,
2014-09,3.008,
2014-10,2.922,
2014-11,3.010,
2014-12,3.253,
"",General: Excluding Hong Kong.,
