"",BBSF2.M.1.S.00000.IMM01.I.F.BGH.DE.00122.000000.EUR.00,BBSF2.M.1.S.00000.IMM01.I.F.BGH.DE.00122.000000.EUR.00_FLAGS
"",Special investors funds / Real estate funds / Deposits and loan claims / Germany / Monetary financial institutes (MFIs) / Denominated in Euro,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:41,
2009-09,1698,
2009-10,1689,
2009-11,1754,
2009-12,1359,
2010-01,1522,
2010-02,1444,
2010-03,1575,
2010-04,1613,
2010-05,1671,
2010-06,1634,
2010-07,1939,
2010-08,1824,
2010-09,1987,
2010-10,2081,
2010-11,2182,
2010-12,1756,
2011-01,1826,
2011-02,1826,
2011-03,1793,
2011-04,1744,
2011-05,1938,
2011-06,1943,
2011-07,2092,
2011-08,2041,
2011-09,2090,
2011-10,2232,
2011-11,2294,
2011-12,1975,
2012-01,1876,
2012-02,2087,
2012-03,1796,
2012-04,1922,
2012-05,2006,
2012-06,2105,
2012-07,2135,
2012-08,2299,
2012-09,2508,
2012-10,2704,
2012-11,2529,
2012-12,2397,
2013-01,2205,
2013-02,2376,
2013-03,2393,
2013-04,2186,
2013-05,2254,
2013-06,2424,
2013-07,2458,
2013-08,2553,
2013-09,2670,
2013-10,2783,
2013-11,3431,
2013-12,2594,
2014-01,2520,
2014-02,2640,
2014-03,2672,
2014-04,3005,
2014-05,2932,
2014-06,3152,
2014-07,3346,
2014-08,3210,
2014-09,3566,
2014-10,3579,
2014-11,3731,
